,Commercial,District_Heating,Electric_Vehicle,Electrolyzer,Heating,Industrial,Residential,Total,scaling_factor,year,share of residential,share of non-residential,,yr_timeframe,average_residential_load_share,average_non_residential_load_share,average_scaling_factor
0,7.767333333,0.005333333,0.046666667,0,0.054,7.382,4.728,19.98333333,1,2019,,,,1,0.212756802,0.787243198,0.955783153
1,7.756,0.006333333,0.068666667,0,0.069666667,7.327333333,4.604333333,19.83233333,0.992443703,2020,,,,2,0.208821801,0.791178199,0.983462886
2,7.726,0.007333333,0.094666667,0,0.078,7.289666667,4.422333333,19.618,0.981718098,2021,,,,3,0.19499018,0.80500982,1.055239366
3,7.682,0.008,0.128,0,0.091666667,7.228666667,4.279333333,19.41766667,0.971693078,2022,,,,4,0.181595803,0.818404197,1.124206839
4,7.632333333,0.009333333,0.167666667,0,0.107,7.196,4.188,19.30033333,0.965821518,2023,,,,5,0.172110205,0.827889795,1.170920211
5,7.579333333,0.010666667,0.214,0,0.123333333,7.147333333,4.112666667,19.18733333,0.960166806,2024,,,,,,,
6,7.518666667,0.012,0.271,0,0.152333333,7.095666667,4.060666667,19.11033333,0.956313595,2025,0.212485392,0.787514608,,,,,
7,7.454333333,0.013666667,0.34,0,0.182,7.036333333,4.054,19.08033333,0.954812344,2026,0.212470083,0.787529917,,,,,
8,7.388333333,0.016,0.424,0,0.216666667,6.974666667,4.06,19.07966667,0.954778982,2027,0.212791977,0.787208023,,,,,
9,7.325666667,0.018,0.525666667,0,0.248,6.911666667,4.068333333,19.09733333,0.955663053,2028,0.213031488,0.786968512,,,,,
10,7.257,0.021,0.647666667,0,0.282,6.848333333,4.075,19.131,0.95734779,2029,0.21300507,0.78699493,,,,,
11,7.197666667,0.023333333,0.793666667,0,0.313333333,6.818333333,4.080333333,19.22666667,0.962135113,2030,0.212222607,0.787777393,,,,,
12,7.165333333,0.025,0.962666667,0,0.341333333,6.799666667,4.091666667,19.38566667,0.970091743,2031,0.211066596,0.788933404,,,,,
13,7.134,0.027666667,1.171333333,0,0.388333333,6.789,4.107666667,19.618,0.981718098,2032,0.20938254,0.79061746,,,,,
14,7.107,0.030666667,1.411333333,0,0.428666667,6.782,4.118333333,19.878,0.994728941,2033,0.207180468,0.792819532,,,,,
15,7.076666667,0.033333333,1.677666667,0,0.464666667,6.786666667,4.117,20.156,1.008640534,2034,0.204256797,0.795743203,,,,,
16,7.041,0.037,1.942333333,0,0.521666667,6.792,4.121666667,20.45566667,1.023636364,2035,0.201492659,0.798507341,,,,,
17,7.012666667,0.040666667,2.220333333,0,0.571333333,6.814,4.117333333,20.77633333,1.039683069,2036,0.198174205,0.801825795,,,,,
18,6.986,0.045,2.494,0,0.633333333,6.854666667,4.110666667,21.12366667,1.05706422,2037,0.194600054,0.805399946,,,,,
19,6.956666667,0.05,2.743,0,0.675333333,6.886,4.104666667,21.41566667,1.071676397,2038,0.191666537,0.808333463,,,,,
20,6.922666667,0.054666667,2.958,0,0.715333333,6.919,4.095,21.66466667,1.084136781,2039,0.189017448,0.810982552,,,,,
21,6.897666667,0.060333333,3.136666667,0,0.748666667,6.980333333,4.068333333,21.892,1.095512927,2040,0.185836531,0.814163469,,,,,
22,6.886,0.067,3.277666667,0,0.822666667,7.044333333,4.072666667,22.17033333,1.109441201,2041,0.183698937,0.816301063,,,,,
23,6.877,0.075,3.387,0,0.964333333,7.144,4.099,22.54633333,1.128256881,2042,0.181803397,0.818196603,,,,,
24,6.867333333,0.084,3.465333333,0,1.043333333,7.241666667,4.094666667,22.79633333,1.140767306,2043,0.179619529,0.820380471,,,,,
25,6.855333333,0.091333333,3.488333333,0,1.082666667,7.346666667,4.057666667,22.922,1.14705588,2044,0.177020621,0.822979379,,,,,
26,6.842333333,0.099,3.505666667,0,1.157333333,7.448,4.028666667,23.081,1.15501251,2045,0.174544719,0.825455281,,,,,
27,6.825333333,0.107333333,3.51,0,1.271666667,7.530333333,4.034666667,23.27933333,1.164937448,2046,0.173315387,0.826684613,,,,,
28,6.806666667,0.115666667,3.507666667,0,1.362333333,7.616333333,4.034,23.44266667,1.173110926,2047,0.172079399,0.827920601,,,,,
29,6.784333333,0.124666667,3.512,0,1.398,7.684666667,4.016,23.51966667,1.176964137,2048,0.170750719,0.829249281,,,,,
30,6.754666667,0.134,3.498,0,1.405,7.729333333,3.994333333,23.51533333,1.176747289,2049,0.1698608,0.8301392,,,,,
31,6.728666667,0.143333333,3.481,0,1.447333333,7.765333333,3.989666667,23.55533333,1.178748957,2050,0.169374239,0.830625761,,,,,
