,Commercial,District_Heating,Electric_Vehicle,Electrolyzer,Heating,Industrial,Residential,Total,scaling_factor,year,share of residential,share of non-residential,,yr_timeframe,average_residential_load_share,average_non_residential_load_share,average_scaling_factor
0,50.39333333,0.050333333,0,0,0.501,47.861,47.12766667,145.9333333,1,2019,,,,1,0.298438526,0.701561474,0.930901325
1,50.32266667,0.058333333,0,0,0.645666667,47.50366667,45.90066667,144.431,0.989705345,2020,,,,2,0.302902024,0.697097976,0.926147556
2,50.128,0.066666667,0,0,0.726333333,47.258,44.09533333,142.2743333,0.974926907,2021,,,,3,0.299483528,0.700516472,0.938715395
3,49.84233333,0.075666667,0,0,0.851333333,46.86,42.67733333,140.3066667,0.961443582,2022,,,,4,0.288798781,0.711201219,0.966873915
4,49.521,0.086333333,0,0,0.994,46.651,41.77133333,139.0236667,0.952651896,2023,,,,5,0.273726902,0.726273098,1.009409548
5,49.17666667,0.1,0,0,1.146666667,46.33566667,41.028,137.787,0.944177707,2024,,,,,,,
6,48.784,0.111333333,0,0,1.418666667,45.998,40.513,136.825,0.937585656,2025,0.29609355,0.70390645,,,,,
7,48.364,0.128666667,0,0,1.690666667,45.61433333,40.44566667,136.2433333,0.933599817,2026,0.296863455,0.703136545,,,,,
8,47.93766667,0.146666667,0,0,2.016333333,45.21433333,40.505,135.82,0.930698949,2027,0.298225593,0.701774407,,,,,
9,47.53,0.165666667,0,0,2.31,44.80933333,40.586,135.401,0.927827775,2028,0.299746678,0.700253322,,,,,
10,47.08466667,0.197,0,0,2.623666667,44.395,40.658,134.9583333,0.924794427,2029,0.301263353,0.698736647,,,,,
11,46.69966667,0.216,0,0,2.914,44.204,40.708,134.7416667,0.92330973,2030,0.302118869,0.697881131,,,,,
12,46.48966667,0.235666667,0,0,3.173666667,44.082,40.82133333,134.8023333,0.923725445,2031,0.302823641,0.697176359,,,,,
13,46.28766667,0.256666667,0,0,3.611333333,44.01466667,40.98433333,135.1546667,0.92613979,2032,0.303240238,0.696759762,,,,,
14,46.11066667,0.283333333,0,0,3.988,43.969,41.097,135.448,0.92814984,2033,0.303415333,0.696584667,,,,,
15,45.91466667,0.312,0,0,4.320333333,44.00066667,41.08466667,135.6323333,0.929412974,2034,0.302912039,0.697087961,,,,,
16,45.68466667,0.345,0,0,4.850666667,44.036,41.13833333,136.0546667,0.932306989,2035,0.302366206,0.697633794,,,,,
17,45.49866667,0.380666667,0,0,5.311333333,44.17833333,41.098,136.467,0.935132481,2036,0.301157056,0.698842944,,,,,
18,45.32766667,0.419666667,0,0,5.891333333,44.44066667,41.033,137.1123333,0.939554591,2037,0.299265566,0.700734434,,,,,
19,45.13633333,0.462,0,0,6.279666667,44.64733333,40.972,137.4973333,0.942192782,2038,0.297983961,0.702016039,,,,,
20,44.91566667,0.507333333,0,0,6.651,44.861,40.883,137.818,0.944390132,2039,0.29664485,0.70335515,,,,,
21,44.75333333,0.562333333,0,0,6.960666667,45.258,40.61666667,138.151,0.946671996,2040,0.294001974,0.705998026,,,,,
22,44.67666667,0.623,0,0,7.647333333,45.67433333,40.67233333,139.2936667,0.954502056,2041,0.291989825,0.708010175,,,,,
23,44.61933333,0.698666667,0,0,8.963333333,46.323,40.951,141.5553333,0.97,2042,0.289293233,0.710706767,,,,,
24,44.55633333,0.782,0,0,9.700666667,46.956,40.91433333,142.9093333,0.979278209,2043,0.28629574,0.71370426,,,,,
25,44.477,0.850666667,0,0,10.068,47.64,40.55066667,143.5863333,0.983917314,2044,0.282413136,0.717586864,,,,,
26,44.39466667,0.923,0,0,10.76066667,48.29833333,40.27333333,144.65,0.99120603,2045,0.278419173,0.721580827,,,,,
27,44.28433333,0.997666667,0,0,11.82266667,48.83133333,40.351,146.287,1.002423481,2046,0.27583449,0.72416551,,,,,
28,44.16366667,1.077333333,0,0,12.66833333,49.39033333,40.36333333,147.663,1.011852444,2047,0.273347645,0.726652355,,,,,
29,44.016,1.158666667,0,0,12.99666667,49.83466667,40.20066667,148.2066667,1.015577889,2048,0.271247357,0.728752643,,,,,
30,43.826,1.242333333,0,0,13.063,50.129,39.998,148.2583333,1.015931932,2049,0.269785847,0.730214153,,,,,
31,43.656,1.334,0,0,13.458,50.361,39.965,148.774,1.019465509,2050,0.268628927,0.731371073,,,,,
