,Commercial,District_Heating,Electric_Vehicle,Electrolyzer,Heating,Industrial,Residential,Total,scaling_factor,year,share of residential,share of non-residential,,yr_timeframe,average_residential_load_share,average_non_residential_load_share,average_scaling_factor
0,82.074,0.073,0.504333333,0,0.729,77.898,70.94033333,232.2186667,1,2019,,,,1,0.277321247,0.722678753,0.948009635
1,81.95866667,0.084333333,0.742666667,0,0.939666667,77.31033333,69.096,230.1316667,0.991012781,2020,,,,2,0.27318067,0.72681933,0.972048185
2,81.64133333,0.096666667,1.004666667,0,1.057,76.91133333,66.38566667,227.0966667,0.977943203,2021,,,,3,0.257311336,0.742688664,1.034549907
3,81.17666667,0.110333333,1.343666667,0,1.239,76.261,64.25633333,224.387,0.966274603,2022,,,,4,0.24105014,0.75894986,1.096946269
4,80.653,0.125666667,1.728666667,0,1.447,75.92066667,62.897,222.772,0.959319951,2023,,,,5,0.228751249,0.771248751,1.144020387
5,80.09233333,0.145333333,2.177,0,1.669,75.40833333,61.78133333,221.2733333,0.952866264,2024,,,,,,,
6,79.45266667,0.162,2.713333333,0,2.065333333,74.85866667,61.008,220.26,0.948502561,2025,0.276981749,0.723018251,,,,,
7,78.76833333,0.187,3.363,0,2.461,74.234,60.90733333,219.9206667,0.947041294,2026,0.276951385,0.723048615,,,,,
8,78.07433333,0.213333333,4.140333333,0,2.935,73.583,60.99633333,219.9423333,0.947134597,2027,0.277328754,0.722671246,,,,,
9,77.41033333,0.241,5.078,0,3.362,72.92433333,61.11766667,220.1333333,0.947957098,2028,0.27763931,0.72236069,,,,,
10,76.685,0.287,6.204,0,3.819,72.25033333,61.226,220.4713333,0.949412623,2029,0.277705038,0.722294962,,,,,
11,76.058,0.313666667,7.548,0,4.241666667,71.94,61.30133333,221.4026667,0.95342321,2030,0.276877123,0.723122877,,,,,
12,75.716,0.342666667,9.066333333,0,4.619666667,71.74266667,61.474,222.9613333,0.960135275,2031,0.275715969,0.724284031,,,,,
13,75.38666667,0.373,11.03333333,0,5.256666667,71.63266667,61.722,225.4043333,0.970655532,2032,0.273827921,0.726172079,,,,,
14,75.09866667,0.412333333,13.28966667,0,5.804666667,71.55966667,61.89433333,228.0593333,0.982088721,2033,0.271395748,0.728604252,,,,,
15,74.77966667,0.454,15.8,0,6.288666667,71.61133333,61.87733333,230.811,0.993938185,2034,0.268086587,0.731913413,,,,,
16,74.405,0.502333333,18.29366667,0,7.060666667,71.67,61.96166667,233.8933333,1.007211594,2035,0.264914206,0.735085794,,,,,
17,74.10166667,0.554333333,20.91066667,0,7.731,71.90266667,61.90233333,237.1026667,1.021031901,2036,0.261078183,0.738921817,,,,,
18,73.82366667,0.611333333,23.48966667,0,8.575333333,72.33133333,61.806,240.6373333,1.036253187,2037,0.256842939,0.743157061,,,,,
19,73.51166667,0.672333333,25.83433333,0,9.140333333,72.66833333,61.71666667,243.5436667,1.048768689,2038,0.253411093,0.746588907,,,,,
20,73.15233333,0.739,27.85833333,0,9.680666667,73.01733333,61.58433333,246.032,1.059484164,2039,0.250310258,0.749689742,,,,,
21,72.888,0.818666667,29.541,0,10.13166667,73.665,61.18333333,248.2276667,1.068939333,2040,0.246480717,0.753519283,,,,,
22,72.76266667,0.907,30.871,0,11.131,74.34433333,61.273,251.289,1.08212231,2041,0.243834788,0.756165212,,,,,
23,72.66933333,1.016666667,31.9,0,13.04666667,75.402,61.70433333,255.739,1.101285283,2042,0.241278543,0.758721457,,,,,
24,72.567,1.138333333,32.63866667,0,14.11966667,76.43366667,61.65666667,258.554,1.113407478,2043,0.238467271,0.761532729,,,,,
25,72.438,1.237666667,32.85533333,0,14.65466667,77.54833333,61.11333333,259.8473333,1.118976941,2044,0.23518938,0.76481062,,,,,
26,72.30366667,1.343,33.01633333,0,15.66333333,78.622,60.70233333,261.6506667,1.12674261,2045,0.231997625,0.768002375,,,,,
27,72.12433333,1.452333333,33.056,0,17.20833333,79.491,60.833,264.165,1.137570049,2046,0.230284103,0.769715897,,,,,
28,71.928,1.568,33.03633333,0,18.43933333,80.403,60.865,266.2396667,1.146504157,2047,0.228609811,0.771390189,,,,,
29,71.687,1.686666667,33.078,0,18.91733333,81.128,60.63,267.127,1.150325268,2048,0.226970692,0.773029308,,,,,
30,71.378,1.808666667,32.94766667,0,19.01466667,81.608,60.33433333,267.0913333,1.150171677,2049,0.225894014,0.774105986,,,,,
31,71.101,1.941,32.788,0,19.58933333,81.98866667,60.29566667,267.7036667,1.15280856,2050,0.225232876,0.774767124,,,,,
