,Commercial,District_Heating,Electric_Vehicle,Electrolyzer,Heating,Industrial,Residential,Total,scaling_factor,year,share of residential,share of non-residential,,yr_timeframe,average_residential_load_share,average_non_residential_load_share,average_scaling_factor
0,66.85966667,0.075,0,0,0.75,63.469,73.611,204.7646667,1,2019,,,,1,0.325633585,0.674366415,0.950203974
1,66.76533333,0.087,0,0,0.966666667,62.99133333,71.69833333,202.5086667,0.988982474,2020,,,,2,0.312264942,0.687735058,1.001121939
2,66.507,0.099333333,0.189,0,1.087333333,62.66633333,68.888,199.437,0.973981514,2021,,,,3,0.286057495,0.713942505,1.095617734
3,66.12866667,0.113666667,0.412,0,1.274333333,62.137,66.67933333,196.745,0.960834714,2022,,,,4,0.26377066,0.73622934,1.180045385
4,65.702,0.129,0.791,0,1.488,61.85966667,65.27,195.2396667,0.953483186,2023,,,,5,0.249235122,0.750764878,1.233011121
5,65.24533333,0.149333333,1.315333333,0,1.716666667,61.442,64.113,193.9816667,0.947339548,2024,,,,,,,
6,64.724,0.166666667,2.020666667,0,2.124,60.994,63.31133333,193.3406667,0.944209125,2025,0.327459993,0.672540007,,,,,
7,64.16666667,0.192666667,2.948333333,0,2.531666667,60.48533333,63.20766667,193.5323333,0.945145159,2026,0.326600034,0.673399966,,,,,
8,63.601,0.219666667,4.13,0,3.019,59.95466667,63.29933333,194.2236667,0.948521392,2027,0.325909475,0.674090525,,,,,
9,63.06066667,0.248,5.611,0,3.458,59.418,63.42533333,195.221,0.953392024,2028,0.324889911,0.675110089,,,,,
10,62.46933333,0.295,7.424,0,3.928333333,58.869,63.53766667,196.5233333,0.959752171,2029,0.323308513,0.676691487,,,,,
11,61.95866667,0.323,9.589333333,0,4.363,58.616,63.616,198.466,0.969239485,2030,0.320538531,0.679461469,,,,,
12,61.68033333,0.352333333,12.40833333,0,4.751666667,58.455,63.79533333,201.443,0.983778126,2031,0.316691736,0.683308264,,,,,
13,61.41166667,0.384,15.10066667,0,5.407,58.36533333,64.05333333,204.722,0.999791631,2032,0.31287958,0.68712042,,,,,
14,61.17733333,0.423666667,18.189,0,5.970666667,58.30566667,64.233,208.2993333,1.017262093,2033,0.308368726,0.691631274,,,,,
15,60.91733333,0.467,21.62533333,0,6.468666667,58.34733333,64.216,212.0416667,1.035538358,2034,0.302846139,0.697153861,,,,,
16,60.612,0.516666667,25.039,0,7.262333333,58.395,64.30433333,216.1293333,1.055501112,2035,0.297527098,0.702472902,,,,,
17,60.365,0.57,28.61966667,0,7.952,58.58433333,64.243,220.334,1.076035253,2036,0.291570979,0.708429021,,,,,
18,60.13866667,0.628666667,32.15033333,0,8.820333333,58.93366667,64.144,224.8156667,1.097922168,2037,0.285318194,0.714681806,,,,,
19,59.88433333,0.691666667,35.35933333,0,9.401666667,59.20766667,64.051,228.5956667,1.116382384,2038,0.280193413,0.719806587,,,,,
20,59.59133333,0.76,38.12933333,0,9.957333333,59.492,63.91433333,231.8443333,1.132247751,2039,0.27567779,0.72432221,,,,,
21,59.37633333,0.842333333,40.43233333,0,10.42133333,60.01933333,63.49833333,234.59,1.14565664,2040,0.27067792,0.72932208,,,,,
22,59.27433333,0.932666667,42.25266667,0,11.449,60.57233333,63.59333333,238.0743333,1.162672922,2041,0.267115453,0.732884547,,,,,
23,59.19833333,1.045666667,43.66133333,0,13.41933333,61.43333333,64.04366667,242.8016667,1.185759587,2042,0.263769469,0.736230531,,,,,
24,59.115,1.170666667,44.67166667,0,14.523,62.27433333,63.99666667,245.7513333,1.200164742,2043,0.260412287,0.739587713,,,,,
25,59.01,1.273333333,44.96866667,0,15.07333333,63.18166667,63.43366667,246.9406667,1.205973036,2044,0.25687817,0.74312183,,,,,
26,58.90033333,1.381666667,45.189,0,16.111,64.056,63.009,248.647,1.214306179,2045,0.253407441,0.746592559,,,,,
27,58.75433333,1.493666667,45.24333333,0,17.7,64.764,63.14866667,251.104,1.22630532,2046,0.251484113,0.748515887,,,,,
28,58.59433333,1.612666667,45.21666667,0,18.96633333,65.50666667,63.185,253.0816667,1.235963561,2047,0.249662494,0.750337506,,,,,
29,58.398,1.734666667,45.27333333,0,19.458,66.097,62.94366667,253.9046667,1.23998281,2048,0.247902756,0.752097244,,,,,
30,58.146,1.86,45.095,0,19.55733333,66.48766667,62.63866667,253.7846667,1.239396771,2049,0.246818169,0.753181831,,,,,
31,57.92066667,1.996666667,44.87566667,0,20.14866667,66.79666667,62.60233333,254.3406667,1.242112083,2050,0.24613576,0.75386424,,,,,
