,Commercial,District_Heating,Electric_Vehicle,Electrolyzer,Heating,Industrial,Residential,Total,scaling_factor,year,share of residential,share of non-residential,,yr_timeframe,average_residential_load_share,average_non_residential_load_share,average_scaling_factor
0,3.822666667,0.007666667,0.042333333,0,0.079,3.649333333,5.022666667,12.62366667,1,2019,,,,1,0.341732785,0.658267215,0.996213462
1,3.817333333,0.009,0.062666667,0,0.101666667,3.624333333,4.889,12.504,0.990520451,2020,,,,2,0.300110809,0.699889191,1.147078239
2,3.802666667,0.010666667,0.105666667,0,0.114333333,3.605666667,4.689333333,12.32833333,0.97660479,2021,,,,3,0.246251946,0.753748054,1.397190462
3,3.781333333,0.012,0.159,0,0.134,3.576,4.532666667,12.195,0.966042618,2022,,,,4,0.2127866,0.7872134,1.594930158
4,3.756666667,0.013333333,0.233666667,0,0.156666667,3.559666667,4.432,12.152,0.962636318,2023,,,,5,0.196638604,0.803361396,1.68054272
5,3.730666667,0.016,0.329666667,0,0.180666667,3.535666667,4.349333333,12.142,0.961844155,2024,,,,,,,
6,3.701,0.017333333,0.453333333,0,0.223333333,3.51,4.292333333,12.19733333,0.966227456,2025,0.351907521,0.648092479,,,,,
7,3.669,0.020333333,0.611,0,0.266333333,3.480666667,4.284666667,12.332,0.97689525,2026,0.347442967,0.652557033,,,,,
8,3.636333333,0.023333333,0.807666667,0,0.317333333,3.45,4.291,12.52566667,0.992236804,2027,0.342576576,0.657423424,,,,,
9,3.605666667,0.026333333,1.051333333,0,0.363333333,3.419,4.3,12.76566667,1.011248713,2028,0.336841006,0.663158994,,,,,
10,3.571666667,0.031,1.348,0,0.413,3.387,4.308,13.05866667,1.034459085,2029,0.329895855,0.670104145,,,,,
11,3.543,0.034,1.701333333,0,0.458666667,3.372666667,4.314,13.42366667,1.063373029,2030,0.3213727,0.6786273,,,,,
12,3.527,0.037,2.143,0,0.499666667,3.363,4.323666667,13.89333333,1.100578279,2031,0.311204415,0.688795585,,,,,
13,3.511666667,0.040333333,2.607666667,0,0.568333333,3.357666667,4.338,14.42366667,1.142589316,2032,0.300755702,0.699244298,,,,,
14,3.498,0.044333333,3.141333333,0,0.628,3.354,4.347333333,15.013,1.189274115,2033,0.28957126,0.71042874,,,,,
15,3.483333333,0.049,3.734666667,0,0.68,3.356333333,4.344666667,15.648,1.239576457,2034,0.277649966,0.722350034,,,,,
16,3.465666667,0.054333333,4.324,0,0.763333333,3.358666667,4.347,16.313,1.292255288,2035,0.266474591,0.733525409,,,,,
17,3.451333333,0.06,4.942666667,0,0.836333333,3.369,4.340666667,17,1.346676877,2036,0.255333333,0.744666667,,,,,
18,3.438666667,0.066333333,5.552,0,0.927333333,3.389,4.332,17.70533333,1.402550764,2037,0.244672039,0.755327961,,,,,
19,3.424,0.072666667,6.106333333,0,0.988666667,3.404,4.324,18.31966667,1.45121597,2038,0.236030495,0.763969505,,,,,
20,3.407,0.08,6.584333333,0,1.047,3.42,4.312,18.85033333,1.493253413,2039,0.228749271,0.771250729,,,,,
21,3.394666667,0.088333333,6.982666667,0,1.096,3.449333333,4.283666667,19.29466667,1.52845185,2040,0.222012991,0.777987009,,,,,
22,3.389333333,0.098,7.296666667,0,1.203666667,3.481,4.283666667,19.75233333,1.564706504,2041,0.216868893,0.783131107,,,,,
23,3.384666667,0.11,7.539666667,0,1.411,3.529666667,4.301333333,20.27633333,1.606215838,2042,0.212135659,0.787864341,,,,,
24,3.38,0.123,7.714666667,0,1.527333333,3.577333333,4.289,20.61133333,1.632753294,2043,0.208089401,0.791910599,,,,,
25,3.374333333,0.134,7.765666667,0,1.584666667,3.629,4.247,20.73466667,1.642523303,2044,0.204826056,0.795173944,,,,,
26,3.367666667,0.145333333,7.803666667,0,1.693666667,3.678333333,4.210666667,20.89933333,1.655567585,2045,0.201473731,0.798526269,,,,,
27,3.359333333,0.157,7.813,0,1.861,3.718333333,4.204666667,21.11333333,1.67251987,2046,0.199147458,0.800852542,,,,,
28,3.350333333,0.169666667,7.808333333,0,1.994,3.76,4.193,21.27533333,1.685352909,2047,0.197082694,0.802917306,,,,,
29,3.339,0.182333333,7.818666667,0,2.046,3.793666667,4.165333333,21.345,1.690871643,2048,0.195143281,0.804856719,,,,,
30,3.324666667,0.195666667,7.787333333,0,2.056333333,3.815333333,4.134333333,21.31366667,1.688389533,2049,0.193975696,0.806024304,,,,,
31,3.311666667,0.21,7.749666667,0,2.118333333,3.832333333,4.119,21.341,1.690554778,2050,0.193008762,0.806991238,,,,,
