,Commercial,District_Heating,Electric_Vehicle,Electrolyzer,Heating,Industrial,Residential,Total,scaling_factor,year,share of residential,share of non-residential,,yr_timeframe,average_residential_load_share,average_non_residential_load_share,average_scaling_factor
0,14.77266667,0.019,0.288,0,0.182333333,14.03766667,16.168,45.46766667,1,2019,,,,1,0.320986424,0.679013576,0.951987859
1,14.75166667,0.021333333,0.424,0,0.235,13.934,15.74533333,45.11133333,0.992162929,2020,,,,2,0.316299613,0.683700387,0.975623703
2,14.69466667,0.024666667,0.523666667,0,0.264333333,13.86166667,15.12166667,44.49066667,0.978512203,2021,,,,3,0.295714116,0.704285884,1.045501932
3,14.611,0.028,0.659,0,0.309666667,13.745,14.63233333,43.985,0.967390747,2022,,,,4,0.275165877,0.724834123,1.114758473
4,14.51666667,0.032,0.778666667,0,0.361666667,13.68366667,14.31933333,43.692,0.960946607,2023,,,,5,0.258746856,0.741253144,1.166737535
5,14.41566667,0.037,0.897,0,0.417333333,13.59133333,14.06233333,43.42066667,0.954978996,2024,,,,,,,
6,14.301,0.041333333,1.017333333,0,0.516,13.49233333,13.884,43.252,0.9512694,2025,0.321002497,0.678997503,,,,,
7,14.17766667,0.047666667,1.144,0,0.615,13.37933333,13.861,43.22466667,0.95066824,2026,0.320673381,0.679326619,,,,,
8,14.05266667,0.054666667,1.277,0,0.733666667,13.26233333,13.881,43.26133333,0.951474674,2027,0.320863897,0.679136103,,,,,
9,13.93333333,0.061666667,1.422,0,0.840666667,13.14333333,13.90933333,43.31033333,0.952552363,2028,0.321155075,0.678844925,,,,,
10,13.80266667,0.073666667,1.588,0,0.955,13.022,13.93366667,43.375,0.953974619,2029,0.321237272,0.678762728,,,,,
11,13.68966667,0.080333333,1.785333333,0,1.060666667,12.966,13.95133333,43.53333333,0.957456947,2030,0.320474732,0.679525268,,,,,
12,13.628,0.087666667,1.91,0,1.155,12.93,13.989,43.69966667,0.961115225,2031,0.320116858,0.679883142,,,,,
13,13.569,0.095333333,2.324333333,0,1.314333333,12.91033333,14.04333333,44.25666667,0.973365688,2032,0.317315659,0.682684341,,,,,
14,13.517,0.105333333,2.799333333,0,1.451,12.89666667,14.08066667,44.85,0.986415255,2033,0.313950204,0.686049796,,,,,
15,13.45966667,0.115666667,3.328666667,0,1.572,12.90566667,14.07533333,45.457,0.999765401,2034,0.309640613,0.690359387,,,,,
16,13.39233333,0.128333333,3.854,0,1.765333333,12.916,14.092,46.148,1.014963014,2035,0.305365346,0.694634654,,,,,
17,13.33766667,0.141666667,4.404666667,0,1.932666667,12.95766667,14.07666667,46.851,1.030424551,2036,0.300456056,0.699543944,,,,,
18,13.28766667,0.156333333,4.948333333,0,2.143666667,13.03433333,14.05366667,47.624,1.047425643,2037,0.29509631,0.70490369,,,,,
19,13.23133333,0.171666667,5.442333333,0,2.285,13.09466667,14.032,48.257,1.061347624,2038,0.290776468,0.709223532,,,,,
20,13.16666667,0.189,5.869,0,2.42,13.15766667,14.00033333,48.80266667,1.073348827,2039,0.2868764,0.7131236,,,,,
21,13.11933333,0.209333333,6.223,0,2.532666667,13.27366667,13.90866667,49.26666667,1.083553881,2040,0.282313938,0.717686062,,,,,
22,13.09633333,0.232,6.503333333,0,2.782666667,13.396,13.92433333,49.93466667,1.09824564,2041,0.278851032,0.721148968,,,,,
23,13.08,0.26,6.720333333,0,3.261666667,13.58566667,14.01266667,50.92033333,1.119924049,2042,0.275188039,0.724811961,,,,,
24,13.06133333,0.291,6.876,0,3.53,13.771,13.996,51.52533333,1.133230208,2043,0.271633371,0.728366629,,,,,
25,13.03833333,0.316333333,6.921666667,0,3.663666667,13.97133333,13.869,51.78033333,1.138838589,2044,0.267843003,0.732156997,,,,,
26,13.01366667,0.343333333,6.955,0,3.915666667,14.164,13.77033333,52.162,1.147232832,2045,0.263991667,0.736008333,,,,,
27,12.98166667,0.371,6.963333333,0,4.301666667,14.32033333,13.78866667,52.72666667,1.159651914,2046,0.261512201,0.738487799,,,,,
28,12.94666667,0.400666667,6.959666667,0,4.609666667,14.48366667,13.78566667,53.186,1.169754331,2047,0.259197283,0.740802717,,,,,
29,12.90266667,0.430666667,6.968333333,0,4.729,14.614,13.724,53.36866667,1.173771838,2048,0.257154635,0.742845365,,,,,
30,12.84733333,0.462333333,6.941,0,4.753333333,14.69966667,13.649,53.35266667,1.173419939,2049,0.255826013,0.744173987,,,,,
31,12.79766667,0.496333333,6.907,0,4.897333333,14.76766667,13.631,53.497,1.176594356,2050,0.254799335,0.745200665,,,,,
