,Commercial,District_Heating,Electric_Vehicle,Electrolyzer,Heating,Industrial,Residential,Total,scaling_factor,year,share of residential,share of non-residential,,yr_timeframe,average_residential_load_share,average_non_residential_load_share,average_scaling_factor
0,74.49866667,0.067333333,0.755,0,0.672333333,70.695,72.75466667,219.443,1,2019,,,,1,0.300182487,0.699817513,0.951663986
1,74.394,0.078,1.112,0,0.866666667,70.15966667,70.87333333,217.4836667,0.991071334,2020,,,,2,0.293059686,0.706940314,0.984875647
2,74.10566667,0.089333333,1.468666667,0,0.975,69.79733333,68.11433333,214.5503333,0.977704157,2021,,,,3,0.272258215,0.727741785,1.063352214
3,73.684,0.101666667,1.935,0,1.142666667,69.207,65.947,212.0173333,0.966161296,2022,,,,4,0.253296681,0.746703319,1.136218213
4,73.20866667,0.115666667,2.440333333,0,1.334333333,68.89866667,64.565,210.5626667,0.959532392,2023,,,,5,0.240483661,0.759516339,1.184283491
5,72.69966667,0.134333333,3.012666667,0,1.539,68.43333333,63.43033333,209.2493333,0.953547542,2024,,,,,,,
6,72.119,0.149666667,3.684,0,1.904666667,67.93433333,62.64433333,208.436,0.949841189,2025,0.300544692,0.699455308,,,,,
7,71.49833333,0.172666667,4.483333333,0,2.269666667,67.36833333,62.543,208.3353333,0.949382452,2026,0.300203518,0.699796482,,,,,
8,70.868,0.197,5.425333333,0,2.706666667,66.77733333,62.63266667,208.607,0.950620434,2027,0.300242402,0.699757598,,,,,
9,70.26566667,0.222333333,6.552,0,3.100666667,66.179,62.75633333,209.076,0.952757664,2028,0.300160388,0.699839612,,,,,
10,69.60666667,0.264333333,7.897333333,0,3.521666667,65.568,62.86766667,209.7256667,0.95571819,2029,0.299761434,0.700238566,,,,,
11,69.03766667,0.289333333,9.504333333,0,3.912,65.28633333,62.94366667,210.9733333,0.961403797,2030,0.298348923,0.701651077,,,,,
12,68.72766667,0.315666667,11.24866667,0,4.26,65.10733333,63.12633333,212.7856667,0.969662585,2031,0.296666285,0.703333715,,,,,
13,68.428,0.344333333,13.68933333,0,4.847666667,65.00733333,63.39,215.7066667,0.982973559,2032,0.293871307,0.706128693,,,,,
14,68.167,0.38,16.489,0,5.353333333,64.94166667,63.57466667,218.9056667,0.997551376,2033,0.290420379,0.709579621,,,,,
15,67.87733333,0.418666667,19.60366667,0,5.799333333,64.98866667,63.56133333,222.249,1.01278692,2034,0.285991538,0.714008462,,,,,
16,67.53733333,0.463,22.698,0,6.511333333,65.04266667,63.658,225.9103333,1.029471586,2035,0.281784366,0.718215634,,,,,
17,67.262,0.511,25.94466667,0,7.129,65.25333333,63.603,229.703,1.046754738,2036,0.276892335,0.723107665,,,,,
18,67.00966667,0.563666667,29.145,0,7.907666667,65.643,63.509,233.778,1.065324481,2037,0.271663715,0.728336285,,,,,
19,66.72633333,0.62,32.054,0,8.429333333,65.949,63.422,237.2006667,1.080921545,2038,0.267376989,0.732623011,,,,,
20,66.40033333,0.681333333,34.56566667,0,8.927666667,66.266,63.293,240.134,1.094288722,2039,0.263573671,0.736426329,,,,,
21,66.16,0.755,36.65366667,0,9.343,66.85433333,62.88166667,242.6476667,1.105743481,2040,0.259148038,0.740851962,,,,,
22,66.04666667,0.836333333,38.30333333,0,10.26466667,67.47133333,62.992,245.9143333,1.120629655,2041,0.256154243,0.743845757,,,,,
23,65.96233333,0.937333333,39.58,0,12.03133333,68.431,63.47033333,250.4123333,1.141127005,2042,0.253463288,0.746536712,,,,,
24,65.869,1.05,40.496,0,13.021,69.368,63.44566667,253.2496667,1.15405671,2043,0.250526161,0.749473839,,,,,
25,65.752,1.141666667,40.765,0,13.51433333,70.38033333,62.89833333,254.4516667,1.159534215,2044,0.247191674,0.752808326,,,,,
26,65.63033333,1.238666667,40.965,0,14.44433333,71.355,62.49666667,256.13,1.167182366,2045,0.244003696,0.755996304,,,,,
27,65.46733333,1.339,41.014,0,15.869,72.14366667,62.67333333,258.5063333,1.178011298,2046,0.242444092,0.757555908,,,,,
28,65.28866667,1.446,40.99,0,17.00466667,72.972,62.74466667,260.446,1.186850344,2047,0.240912384,0.759087616,,,,,
29,65.07033333,1.555333333,41.04166667,0,17.44533333,73.63066667,62.53366667,261.277,1.190637204,2048,0.239338582,0.760661418,,,,,
30,64.78966667,1.667666667,40.87966667,0,17.53433333,74.06666667,62.25766667,261.1956667,1.190266569,2049,0.23835643,0.76164357,,,,,
31,64.53833333,1.790333333,40.681,0,18.065,74.41233333,62.25433333,261.7413333,1.192753167,2050,0.23784678,0.76215322,,,,,
