,Commercial,District_Heating,Electric_Vehicle,Electrolyzer,Heating,Industrial,Residential,Total,scaling_factor,year,share of residential,share of non-residential,,yr_timeframe,average_residential_load_share,average_non_residential_load_share,average_scaling_factor
0,95.20166667,0.095,0.187333333,0,0.950333333,90.41633333,87.09633333,273.947,1,2019,,,,1,0.285450476,0.714549524,0.957842454
1,95.068,0.110333333,0.275666667,0,1.224666667,89.74133333,84.82466667,271.2446667,0.990135562,2020,,,,2,0.272078632,0.727921368,1.015295416
2,94.69966667,0.126,0.622,0,1.378,89.27766667,81.48166667,267.585,0.97677653,2021,,,,3,0.246439532,0.753560468,1.123400512
3,94.161,0.143666667,1.041666667,0,1.615,88.52566667,78.85533333,264.3423333,0.96493969,2022,,,,4,0.225637014,0.774362986,1.217572012
4,93.55333333,0.163333333,1.683666667,0,1.885333333,88.13033333,77.17766667,262.5936667,0.95855646,2023,,,,5,0.212911886,0.787088114,1.271724295
5,92.90333333,0.189333333,2.541,0,2.175,87.53533333,75.80033333,261.1443333,0.953265899,2024,,,,,,,
6,92.16133333,0.211333333,3.67,0,2.691333333,86.89666667,74.84633333,260.477,0.950829905,2025,0.287343348,0.712656652,,,,,
7,91.36733333,0.244,5.133666667,0,3.207333333,86.172,74.72166667,260.846,0.952176881,2026,0.286458932,0.713541068,,,,,
8,90.562,0.278,6.980333333,0,3.825333333,85.41633333,74.83133333,261.8933333,0.956000005,2027,0.285732105,0.714267895,,,,,
9,89.79233333,0.314666667,9.280333333,0,4.381666667,84.65133333,74.98166667,263.402,0.961507153,2028,0.284666277,0.715333723,,,,,
10,88.95066667,0.374,12.08733333,0,4.977333333,83.86866667,75.114,265.372,0.968698325,2029,0.283051716,0.716948284,,,,,
11,88.22333333,0.409333333,15.44033333,0,5.528,83.508,75.20766667,268.3166667,0.979447363,2030,0.280294428,0.719705572,,,,,
12,87.82666667,0.446333333,19.71966667,0,6.020333333,83.278,75.41533333,272.7063333,0.995471143,2031,0.276544121,0.723455879,,,,,
13,87.445,0.486666667,23.999,0,6.850666667,83.15,75.713,277.6443333,1.013496528,2032,0.272697804,0.727302196,,,,,
14,87.11066667,0.537333333,28.907,0,7.565333333,83.064,75.91866667,283.103,1.033422523,2033,0.268166239,0.731833761,,,,,
15,86.741,0.592,34.36766667,0,8.195666667,83.12366667,75.89533333,288.9153333,1.054639523,2034,0.262690569,0.737309431,,,,,
16,86.306,0.654666667,39.79233333,0,9.201666667,83.19066667,75.991,295.1363333,1.077348295,2035,0.257477618,0.742522382,,,,,
17,85.95433333,0.722666667,45.484,0,10.07533333,83.459,75.914,301.6093333,1.100976953,2036,0.251696455,0.748303545,,,,,
18,85.632,0.796666667,51.09466667,0,11.176,83.95566667,75.793,308.448,1.125940419,2037,0.245723752,0.754276248,,,,,
19,85.26966667,0.876333333,56.19466667,0,11.91233333,84.34533333,75.67866667,314.277,1.147218258,2038,0.240802434,0.759197566,,,,,
20,84.853,0.963,60.597,0,12.61633333,84.74966667,75.51133333,319.2903333,1.165518634,2039,0.236497399,0.763502601,,,,,
21,84.546,1.067333333,64.25733333,0,13.20366667,85.49966667,75.01933333,323.5933333,1.181226052,2040,0.231832135,0.768167865,,,,,
22,84.40133333,1.182,67.15,0,14.507,86.286,75.116,328.6423333,1.199656625,2041,0.228564589,0.771435411,,,,,
23,84.293,1.324666667,69.38866667,0,17.003,87.51166667,75.61933333,335.1403333,1.223376541,2042,0.225634834,0.774365166,,,,,
24,84.17433333,1.483666667,70.994,0,18.40166667,88.70733333,75.544,339.305,1.238578995,2043,0.222643344,0.777356656,,,,,
25,84.02466667,1.613333333,71.466,0,19.099,89.99866667,74.86833333,341.07,1.245021847,2044,0.219510169,0.780489831,,,,,
26,83.86866667,1.750666667,71.81633333,0,20.413,91.24266667,74.35,343.4413333,1.253678023,2045,0.2164853,0.7835147,,,,,
27,83.661,1.892333333,71.90266667,0,22.42666667,92.25,74.48,346.6126667,1.265254471,2046,0.214879625,0.785120375,,,,,
28,83.433,2.043666667,71.85966667,0,24.03133333,93.30633333,74.49033333,349.1643333,1.274568925,2047,0.213338896,0.786661104,,,,,
29,83.15366667,2.198,71.95066667,0,24.654,94.14566667,74.17966667,350.2816667,1.278647573,2048,0.211771479,0.788228521,,,,,
30,82.79466667,2.357,71.66666667,0,24.78033333,94.701,73.796,350.0956667,1.277968609,2049,0.210788099,0.789211901,,,,,
31,82.47366667,2.53,71.31866667,0,25.52933333,95.14,73.723,350.7146667,1.280228171,2050,0.210207918,0.789792082,,,,,
