,Commercial,District_Heating,Electric_Vehicle,Electrolyzer,Heating,Industrial,Residential,Total,scaling_factor,year,share of residential,share of non-residential,,yr_timeframe,average_residential_load_share,average_non_residential_load_share,average_scaling_factor
0,50.54833333,0.11,0,0,1.096,48.03766667,91.75,191.542,1,2019,,,,1,0.43472853,0.56527147,0.946423935
1,50.477,0.127666667,0,0.051333333,1.412666667,47.683,89.34433333,189.096,0.987229955,2020,,,,2,0.409781643,0.590218357,1.01428477
2,50.28133333,0.146,0.167,0.051333333,1.589,47.436,85.796,185.4666667,0.968281978,2021,,,,3,0.366745781,0.633254219,1.135426869
3,49.996,0.166333333,0.363333333,0.051333333,1.862333333,47.038,83.007,182.4843333,0.952711851,2022,,,,4,0.322892146,0.677107854,1.279330556
4,49.673,0.189333333,0.697,0.103,2.174666667,46.82766667,81.22366667,180.8883333,0.944379475,2023,,,,5,0.284181533,0.715818467,1.428278277
5,49.32766667,0.219333333,1.159333333,0.154333333,2.509,46.51133333,79.75966667,179.6406667,0.937865673,2024,,,,,,,
6,48.93366667,0.244666667,1.781333333,0.205666667,3.104666667,46.17233333,78.74566667,179.188,0.935502396,2025,0.439458371,0.560541629,,,,,
7,48.51233333,0.282333333,2.599,0.257,3.699666667,45.78666667,78.61233333,179.7493333,0.938432998,2026,0.437344228,0.562655772,,,,,
8,48.08466667,0.322333333,3.641,0.36,4.412,45.38533333,78.72966667,180.935,0.944623111,2027,0.435126795,0.564873205,,,,,
9,47.676,0.364,4.946666667,0.463,5.054333333,44.97833333,78.88933333,182.3716667,0.952123642,2028,0.432574504,0.567425496,,,,,
10,47.229,0.433,6.544666667,0.617,5.741,44.56266667,79.02833333,184.1556667,0.961437526,2029,0.429138754,0.570861246,,,,,
11,46.843,0.473666667,8.453666667,1.182666667,6.376666667,44.371,79.129,186.8296667,0.975397911,2030,0.42353552,0.57646448,,,,,
12,46.63266667,0.517,10.939,1.542666667,6.944333333,44.24866667,79.34,190.1643333,0.992807496,2031,0.41721809,0.58278191,,,,,
13,46.42966667,0.563666667,13.31266667,1.954,7.902,44.18,79.64166667,193.9836667,1.012747422,2032,0.410558621,0.589441379,,,,,
14,46.25233333,0.622,16.03533333,2.468,8.726333333,44.134,79.84766667,198.0856667,1.03416309,2033,0.40309664,0.59690336,,,,,
15,46.05566667,0.685,19.06433333,3.085333333,9.453666667,44.16533333,79.818,202.3273333,1.056307929,2034,0.394499343,0.605500657,,,,,
16,45.82466667,0.757666667,22.07366667,3.856666667,10.61366667,44.2,79.905,207.2313333,1.081910669,2035,0.385583583,0.614416417,,,,,
17,45.63833333,0.836333333,25.231,4.731,11.62166667,44.342,79.81633333,212.2166667,1.107938033,2036,0.376107751,0.623892249,,,,,
18,45.467,0.922,28.343,5.810666667,12.891,44.60533333,79.68266667,217.7216667,1.136678466,2037,0.365984093,0.634015907,,,,,
19,45.27466667,1.014666667,31.172,7.147666667,13.74033333,44.81133333,79.55566667,222.7163333,1.162754557,2038,0.357206252,0.642793748,,,,,
20,45.053,1.114666667,33.614,8.793,14.55233333,45.02566667,79.371,227.5236667,1.187852621,2039,0.348847226,0.651152774,,,,,
21,44.89066667,1.235666667,35.64466667,10.747,15.23033333,45.42333333,78.852,232.0236667,1.211346163,2040,0.339844642,0.660155358,,,,,
22,44.81333333,1.368333333,37.24933333,13.11233333,16.73333333,45.84033333,78.93066667,238.0476667,1.242796184,2041,0.331575049,0.668424951,,,,,
23,44.756,1.533666667,38.491,15.838,19.612,46.49033333,79.41333333,246.1343333,1.285014949,2042,0.322642243,0.677357757,,,,,
24,44.693,1.717333333,39.38166667,18.87166667,21.22533333,47.12533333,79.303,252.3173333,1.317295075,2043,0.314298661,0.685701339,,,,,
25,44.61366667,1.868,39.64366667,22.16266667,22.02933333,47.81,78.57733333,256.7046667,1.340200409,2044,0.306100136,0.693899864,,,,,
26,44.531,2.026666667,39.838,25.608,23.54566667,48.46933333,78.00566667,262.0243333,1.367973256,2045,0.297703903,0.702296097,,,,,
27,44.42,2.190333333,39.88533333,29.10433333,25.86866667,49.00366667,78.08666667,268.559,1.402089359,2046,0.290761682,0.709238318,,,,,
28,44.29933333,2.365666667,39.862,32.65266667,27.719,49.56366667,78.04633333,274.5086667,1.433151302,2047,0.284312821,0.715687179,,,,,
29,44.151,2.544666667,39.91266667,35.42933333,28.43766667,50.009,77.68,278.1643333,1.452236759,2048,0.279259383,0.720740617,,,,,
30,43.96033333,2.728666667,39.75466667,36.20066667,28.58333333,50.303,77.23933333,278.77,1.455398816,2049,0.277071899,0.722928101,,,,,
31,43.79,2.929,39.562,36.04633333,29.44733333,50.535,77.11566667,279.4253333,1.458820172,2050,0.27597951,0.72402049,,,,,
