,Commercial,District_Heating,Electric_Vehicle,Electrolyzer,Heating,Industrial,Residential,Total,scaling_factor,year,share of residential,share of non-residential,,yr_timeframe,average_residential_load_share,average_non_residential_load_share,average_scaling_factor
0,89.071,0.124,1.208,0,1.239666667,84.64766667,102.2223333,278.5126667,1,2019,,,,1,0.331932535,0.668067465,0.949525455
1,88.94566667,0.144,1.778,0,1.598333333,84.02333333,99.54033333,276.0296667,0.991084786,2020,,,,2,0.325445595,0.674554405,0.977916983
2,88.60133333,0.164666667,2.249,0,1.797666667,83.588,95.58266667,271.9833333,0.976556422,2021,,,,3,0.303873008,0.696126992,1.048962944
3,88.09733333,0.187333333,2.877,0,2.107,82.887,92.47266667,268.6283333,0.964510292,2022,,,,4,0.282294622,0.717705378,1.11968169
4,87.52833333,0.213333333,3.484333333,0,2.460666667,82.51566667,90.483,266.6853333,0.957533948,2023,,,,5,0.264509339,0.735490661,1.174312439
5,86.92033333,0.247333333,4.122666667,0,2.838,81.95866667,88.85033333,264.9373333,0.951257752,2024,,,,,,,
6,86.226,0.276,4.823333333,0,3.512333333,81.361,87.71933333,263.918,0.947597835,2025,0.332373439,0.667626561,,,,,
7,85.48333333,0.318333333,5.610333333,0,4.185333333,80.68166667,87.57066667,263.8496667,0.947352484,2026,0.331896067,0.668103933,,,,,
8,84.72966667,0.363,6.492333333,0,4.991333333,79.97433333,87.70133333,264.252,0.948797062,2027,0.331885221,0.668114779,,,,,
9,84.00966667,0.410333333,7.511,0,5.718,79.257,87.87966667,264.7856667,0.950713193,2028,0.331889818,0.668110182,,,,,
10,83.22233333,0.487666667,8.705,0,6.494666667,78.525,88.03433333,265.469,0.953166702,2029,0.33161813,0.66838187,,,,,
11,82.542,0.533666667,10.129,0,7.213666667,78.18666667,88.147,266.752,0.957773315,2030,0.330445507,0.669554493,,,,,
12,82.171,0.582333333,11.428,0,7.856,77.97133333,88.38066667,268.3893333,0.963652162,2031,0.329300221,0.670699779,,,,,
13,81.81366667,0.635,13.908,0,8.939666667,77.85,88.71466667,271.861,0.976117184,2032,0.326323624,0.673676376,,,,,
14,81.501,0.701,16.752,0,9.871666667,77.76866667,88.943,275.5373333,0.989317063,2033,0.322798363,0.677201637,,,,,
15,81.155,0.772,19.91633333,0,10.695,77.82433333,88.909,279.2716667,1.00272519,2034,0.318360258,0.681639742,,,,,
16,80.74766667,0.854,23.06,0,12.00766667,77.88566667,89.004,283.559,1.018118865,2035,0.313881767,0.686118233,,,,,
17,80.419,0.942666667,26.35833333,0,13.14733333,78.13566667,88.90433333,287.9073333,1.03373156,2036,0.30879496,0.69120504,,,,,
18,80.11733333,1.039,29.61,0,14.58366667,78.59966667,88.75466667,292.7043333,1.050955193,2037,0.303222934,0.696777066,,,,,
19,79.778,1.143333333,32.56533333,0,15.54433333,78.963,88.612,296.606,1.064964131,2038,0.298753228,0.701246772,,,,,
20,79.38833333,1.256333333,35.117,0,16.46333333,79.34066667,88.405,299.9706667,1.07704497,2039,0.29471215,0.70528785,,,,,
21,79.10133333,1.392666667,37.238,0,17.23,80.041,87.827,302.83,1.087311409,2040,0.290020804,0.709979196,,,,,
22,78.96566667,1.542,38.91433333,0,18.92966667,80.776,87.91066667,307.0383333,1.102421434,2041,0.286318212,0.713681788,,,,,
23,78.86466667,1.729,40.21166667,0,22.18733333,81.92166667,88.44133333,313.3556667,1.125103825,2042,0.282239457,0.717760543,,,,,
24,78.75333333,1.936,41.142,0,24.01233333,83.03933333,88.31433333,317.1973333,1.138897333,2043,0.278420794,0.721579206,,,,,
25,78.61366667,2.105333333,41.415,0,24.922,84.24633333,87.504,318.8063333,1.144674449,2044,0.274473845,0.725526155,,,,,
26,78.46766667,2.284333333,41.61833333,0,26.637,85.40833333,86.86333333,321.279,1.153552561,2045,0.270367292,0.729632708,,,,,
27,78.27266667,2.469666667,41.66833333,0,29.26533333,86.35,86.94533333,324.9713333,1.166809888,2046,0.267547702,0.732452298,,,,,
28,78.05966667,2.666666667,41.64366667,0,31.35833333,87.33633333,86.89266667,327.9573333,1.177531124,2047,0.264951132,0.735048868,,,,,
29,77.79866667,2.868333333,41.69633333,0,32.17133333,88.121,86.479,329.1346667,1.18175834,2048,0.262746556,0.737253444,,,,,
30,77.463,3.075333333,41.53166667,0,32.33633333,88.639,85.983,329.0283333,1.18137655,2049,0.261323999,0.738676001,,,,,
31,77.16266667,3.301666667,41.33,0,33.314,89.04833333,85.838,329.9946667,1.184846171,2050,0.260119355,0.739880645,,,,,
