,Commercial,District_Heating,Electric_Vehicle,Electrolyzer,Heating,Industrial,Residential,Total,scaling_factor,year,share of residential,share of non-residential,,yr_timeframe,average_residential_load_share,average_non_residential_load_share,average_scaling_factor
0,10.84133333,0.018,0.128666667,0,0.176333333,10.41,15.777,37.35133333,1,2019,,,,1,0.377954918,0.622045082,0.961302586
1,10.826,0.02,0.190333333,0,0.227333333,10.34733333,15.366,36.977,0.989978046,2020,,,,2,0.355345453,0.644654547,1.033280383
2,10.784,0.023,0.272,0,0.256,10.29166667,14.761,36.38766667,0.974199939,2021,,,,3,0.315889362,0.684110638,1.164979385
3,10.723,0.026333333,0.374666667,0,0.300666667,10.21133333,14.28533333,35.92133333,0.961714887,2022,,,,4,0.285984735,0.714015265,1.276852232
4,10.65366667,0.03,0.499666667,0,0.351333333,10.16433333,13.98166667,35.68066667,0.955271565,2023,,,,5,0.269506989,0.730493011,1.339214426
5,10.57966667,0.034666667,0.650666667,0,0.406,10.09566667,13.733,35.49966667,0.950425688,2024,,,,,,,
6,10.495,0.038666667,0.837333333,0,0.502333333,10.02166667,13.56,35.455,0.949229836,2025,0.382456635,0.617543365,,,,,
7,10.405,0.044666667,1.067666667,0,0.599,9.937333333,13.53733333,35.591,0.952870937,2026,0.38035833,0.61964167,,,,,
8,10.31333333,0.051,1.348333333,0,0.714,9.850333333,13.557,35.834,0.959376729,2027,0.378327845,0.621672155,,,,,
9,10.22533333,0.057333333,1.691666667,0,0.818,9.761666667,13.58466667,36.13866667,0.967533511,2028,0.375903926,0.624096074,,,,,
10,10.12966667,0.068333333,2.105,0,0.928666667,9.670666667,13.60866667,36.511,0.977501919,2029,0.372727854,0.627272146,,,,,
11,10.047,0.075,2.599,0,1.031333333,9.628,13.62566667,37.006,0.990754458,2030,0.368201553,0.631798447,,,,,
12,10.00133333,0.081666667,3.182333333,0,1.122666667,9.600666667,13.663,37.65166667,1.008040766,2031,0.362879023,0.637120977,,,,,
13,9.958,0.089333333,3.872666667,0,1.278,9.584666667,13.71733333,38.5,1.03075303,2032,0.356294372,0.643705628,,,,,
14,9.920333333,0.098333333,4.664666667,0,1.412,9.572666667,13.755,39.423,1.05546433,2033,0.348907998,0.651092002,,,,,
15,9.878,0.108333333,5.546,0,1.529666667,9.578333333,13.751,40.39133333,1.08138933,2034,0.34044432,0.65955568,,,,,
16,9.828333333,0.119666667,6.421,0,1.718,9.584333333,13.76833333,41.43966667,1.109456155,2035,0.332250098,0.667749902,,,,,
17,9.788333333,0.132,7.339333333,0,1.881333333,9.612666667,13.75433333,42.508,1.138058436,2036,0.323570465,0.676429535,,,,,
18,9.752,0.146,8.245,0,2.086,9.667333333,13.73233333,43.62866667,1.168061827,2037,0.314754825,0.685245175,,,,,
19,9.710666667,0.160666667,9.067666667,0,2.223,9.709333333,13.712,44.58333333,1.193620933,2038,0.307558879,0.692441121,,,,,
20,9.663,0.176333333,9.778333333,0,2.354333333,9.754,13.682,45.408,1.215699573,2039,0.301312544,0.698687456,,,,,
21,9.628,0.195333333,10.369,0,2.463333333,9.836333333,13.593,46.085,1.233824763,2040,0.294954975,0.705045025,,,,,
22,9.611333333,0.216333333,10.83566667,0,2.707666667,9.924,13.611,46.906,1.255805237,2041,0.290176097,0.709823903,,,,,
23,9.599333333,0.242666667,11.19666667,0,3.172,10.06133333,13.703,47.975,1.284425366,2042,0.285627931,0.714372069,,,,,
24,9.585666667,0.271333333,11.45566667,0,3.432,10.19533333,13.68966667,48.62966667,1.30195263,2043,0.281508544,0.718491456,,,,,
25,9.568666667,0.295333333,11.532,0,3.561666667,10.33966667,13.56766667,48.865,1.308253164,2044,0.277656127,0.722343873,,,,,
26,9.550666667,0.320333333,11.589,0,3.806,10.47866667,13.47466667,49.21933333,1.317739661,2045,0.273767761,0.726232239,,,,,
27,9.527,0.346333333,11.60233333,0,4.181333333,10.59166667,13.499,49.74766667,1.331884627,2046,0.27134941,0.72865059,,,,,
28,9.501,0.374,11.59533333,0,4.48,10.70833333,13.502,50.16066667,1.342941796,2047,0.269175051,0.730824949,,,,,
29,9.469333333,0.402,11.61066667,0,4.595666667,10.80133333,13.44633333,50.32533333,1.347350385,2048,0.267188162,0.732811838,,,,,
30,9.428666667,0.431333333,11.56433333,0,4.618666667,10.861,13.37766667,50.28166667,1.346181305,2049,0.266054559,0.733945441,,,,,
31,9.392,0.463,11.50866667,0,4.757,10.908,13.36533333,50.394,1.349188784,2050,0.265216759,0.734783241,,,,,
