,Commercial,District_Heating,Electric_Vehicle,Electrolyzer,Heating,Industrial,Residential,Total,scaling_factor,year,share of residential,share of non-residential,,yr_timeframe,average_residential_load_share,average_non_residential_load_share,average_scaling_factor
0,119.56,0.160333333,2.262,0,1.604666667,113.6336667,129.8503333,367.071,1,2019,,,,1,0.313264562,0.686735438,0.969497091
1,119.3916667,0.186333333,3.329333333,0,2.068666667,112.7966667,126.4396667,364.2123333,0.992212224,2020,,,,2,0.296237101,0.703762899,1.035779999
2,118.9296667,0.213,4.381333333,0,2.326666667,112.212,121.4036667,359.4663333,0.979282845,2021,,,,3,0.262836335,0.737163665,1.16921413
3,118.253,0.242666667,5.757333333,0,2.727333333,111.2716667,117.4466667,355.6986667,0.969018709,2022,,,,4,0.237288884,0.762711116,1.28314722
4,117.49,0.276333333,7.235666667,0,3.184,110.773,114.9146667,353.8736667,0.964046919,2023,,,,5,0.222323977,0.777676023,1.344921767
5,116.6733333,0.32,8.902333333,0,3.673333333,110.0253333,112.8366667,352.431,0.960116708,2024,,,,,,,
6,115.7416667,0.357,10.84833333,0,4.545666667,109.223,111.3973333,352.113,0.95925039,2025,0.316368136,0.683631864,,,,,
7,114.745,0.411666667,13.15633333,0,5.417,108.311,111.2073333,353.2483333,0.962343343,2026,0.314813469,0.685186531,,,,,
8,113.7333333,0.47,15.87066667,0,6.46,107.3613333,111.374,355.2693333,0.96784909,2027,0.313491736,0.686508264,,,,,
9,112.7666667,0.530666667,19.109,0,7.399666667,106.399,111.6013333,357.8063333,0.974760559,2028,0.311904298,0.688095702,,,,,
10,111.7096667,0.631666667,22.97433333,0,8.405333333,105.4156667,111.7976667,360.9343333,0.983282072,2029,0.309745171,0.690254829,,,,,
11,110.7963333,0.690666667,27.588,0,9.336,104.9613333,111.9413333,365.3136667,0.995212552,2030,0.306425255,0.693574745,,,,,
12,110.2983333,0.754,32.555,0,10.16733333,104.672,112.236,370.6826667,1.00983915,2031,0.302781894,0.697218106,,,,,
13,109.8183333,0.821666667,39.619,0,11.56966667,104.5093333,112.6563333,378.9943333,1.032482363,2032,0.297250706,0.702749294,,,,,
14,109.399,0.907333333,47.722,0,12.776,104.4003333,112.9433333,388.148,1.057419409,2033,0.290980073,0.709019927,,,,,
15,108.9343333,0.999666667,56.73633333,0,13.84166667,104.4743333,112.899,397.8853333,1.083946521,2034,0.283747579,0.716252421,,,,,
16,108.388,1.105333333,65.692,0,15.54,104.557,113.015,408.2973333,1.112311605,2035,0.276795832,0.723204168,,,,,
17,107.947,1.22,75.088,0,17.01533333,104.8923333,112.8866667,419.0493333,1.141602941,2036,0.269387534,0.730612466,,,,,
18,107.542,1.345,84.35066667,0,18.87366667,105.515,112.6943333,430.3206667,1.172309081,2037,0.261884548,0.738115452,,,,,
19,107.0866667,1.480333333,92.76966667,0,20.11766667,106.0023333,112.5113333,439.968,1.198591008,2038,0.255726174,0.744273826,,,,,
20,106.5633333,1.626,100.0376667,0,21.30633333,106.5086667,112.2456667,448.2876667,1.221256015,2039,0.250387586,0.749612414,,,,,
21,106.1783333,1.802333333,106.0806667,0,22.299,107.449,111.5113333,455.3206667,1.240415796,2040,0.244907252,0.755092748,,,,,
22,105.996,1.996,110.856,0,24.49933333,108.435,111.6103333,463.3926667,1.262406092,2041,0.240854768,0.759145232,,,,,
23,105.8606667,2.237333333,114.552,0,28.71466667,109.9723333,112.2706667,473.6076667,1.290234496,2042,0.237054158,0.762945842,,,,,
24,105.711,2.505333333,117.2023333,0,31.07633333,111.473,112.0993333,480.0673333,1.307832363,2043,0.233507522,0.766492478,,,,,
25,105.5233333,2.725,117.981,0,32.254,113.093,111.066,482.6423333,1.314847355,2044,0.230120717,0.769879283,,,,,
26,105.3273333,2.956333333,118.5596667,0,34.47366667,114.653,110.2443333,486.2143333,1.324578442,2045,0.226740196,0.773259804,,,,,
27,105.066,3.195666667,118.7013333,0,37.87433333,115.916,110.332,491.0853333,1.337848354,2046,0.224669711,0.775330289,,,,,
28,104.78,3.451333333,118.631,0,40.58366667,117.24,110.25,494.936,1.348338605,2047,0.222756074,0.777243926,,,,,
29,104.4293333,3.712333333,118.7813333,0,41.63566667,118.293,109.7126667,496.5643333,1.352774622,2048,0.22094351,0.77905649,,,,,
30,103.9786667,3.980666667,118.312,0,41.84933333,118.9876667,109.0713333,496.1796667,1.351726687,2049,0.219822255,0.780177745,,,,,
31,103.5753333,4.273,117.738,0,43.11466667,119.5366667,108.8733333,497.111,1.354263889,2050,0.219012119,0.780987881,,,,,
