,Commercial,District_Heating,Electric_Vehicle,Electrolyzer,Heating,Industrial,Residential,Total,scaling_factor,year,share of residential,share of non-residential,,yr_timeframe,average_residential_load_share,average_non_residential_load_share,average_scaling_factor
0,74.696,0.091666667,0.88,0,0.920333333,70.95833333,81.17,228.7163333,1,2019,,,,1,0.321517799,0.678482201,0.948748741
1,74.591,0.107,1.295333333,0,1.186333333,70.43066667,79.04866667,226.659,0.991004869,2020,,,,2,0.31569863,0.68430137,0.975799425
2,74.30233333,0.122,1.653333333,0,1.334666667,70.06633333,75.92366667,223.4023333,0.976765979,2021,,,,3,0.295541321,0.704458679,1.044383654
3,73.87966667,0.139,2.128,0,1.564333333,69.477,73.46833333,220.6563333,0.964759841,2022,,,,4,0.275321823,0.724678177,1.112488978
4,73.40266667,0.158333333,2.599666667,0,1.826333333,69.16666667,71.89866667,219.0523333,0.957746787,2023,,,,5,0.258966335,0.741033665,1.164551966
5,72.89266667,0.183333333,3.104666667,0,2.107,68.69966667,70.61066667,217.598,0.95138811,2024,,,,,,,
6,72.31066667,0.205,3.67,0,2.607,68.19833333,69.71833333,216.7093333,0.947502656,2025,0.32171357,0.67828643,,,,,
7,71.68766667,0.236333333,4.315,0,3.106666667,67.62933333,69.60133333,216.5763333,0.94692115,2026,0.32137091,0.67862909,,,,,
8,71.05566667,0.269666667,5.048666667,0,3.705333333,67.03666667,69.70466667,216.8206667,0.947989431,2027,0.321485344,0.678514656,,,,,
9,70.452,0.304333333,5.904666667,0,4.245,66.43566667,69.845,217.1866667,0.949589666,2028,0.321589723,0.678410277,,,,,
10,69.79133333,0.362333333,6.913666667,0,4.821333333,65.82166667,69.96833333,217.6786667,0.951740803,2029,0.321429446,0.678570554,,,,,
11,69.221,0.396,8.118333333,0,5.355,65.53866667,70.05633333,218.6853333,0.956142179,2030,0.320352226,0.679647774,,,,,
12,68.91,0.432333333,9.282,0,5.831666667,65.35833333,70.247,220.0613333,0.962158365,2031,0.319215552,0.680784448,,,,,
13,68.61033333,0.471,11.29633333,0,6.636333333,65.257,70.51966667,222.7906667,0.974091633,2032,0.316528819,0.683471181,,,,,
14,68.34766667,0.520666667,13.60666667,0,7.328333333,65.18966667,70.70833333,225.7013333,0.986817732,2033,0.313282745,0.686717255,,,,,
15,68.05766667,0.573333333,16.177,0,7.939333333,65.236,70.68433333,228.6676667,0.999787218,2034,0.309113808,0.690886192,,,,,
16,67.71666667,0.634,18.73033333,0,8.913333333,65.28833333,70.769,232.0516667,1.014582838,2035,0.304970876,0.695029124,,,,,
17,67.44066667,0.699666667,21.40933333,0,9.759666667,65.49833333,70.69433333,235.502,1.029668483,2036,0.300185703,0.699814297,,,,,
18,67.188,0.771333333,24.05066667,0,10.82533333,65.888,70.57933333,239.3026667,1.046285865,2037,0.294937513,0.705062487,,,,,
19,66.90333333,0.849,26.451,0,11.539,66.19333333,70.47066667,242.4063333,1.059855804,2038,0.290712976,0.709287024,,,,,
20,66.57633333,0.932666667,28.523,0,12.221,66.51033333,70.312,245.0753333,1.071525281,2039,0.286899538,0.713100462,,,,,
21,66.336,1.034,30.246,0,12.79066667,67.09833333,69.853,247.358,1.08150562,2040,0.282396365,0.717603635,,,,,
22,66.222,1.145,31.60766667,0,14.05233333,67.71566667,69.93466667,250.6773333,1.096018503,2041,0.278982809,0.721017191,,,,,
23,66.137,1.283666667,32.66133333,0,16.47,68.67633333,70.387,255.6153333,1.117608566,2042,0.27536298,0.72463702,,,,,
24,66.04366667,1.437,33.41733333,0,17.825,69.61433333,70.30566667,258.643,1.130846216,2043,0.271825128,0.728174872,,,,,
25,65.92666667,1.563,33.63933333,0,18.50033333,70.62733333,69.67166667,259.9283333,1.136465986,2044,0.268041832,0.731958168,,,,,
26,65.804,1.695666667,33.80433333,0,19.77366667,71.60266667,69.179,261.8593333,1.144908759,2045,0.264183824,0.735816176,,,,,
27,65.641,1.833,33.84466667,0,21.72433333,72.39266667,69.28066667,264.7163333,1.157400215,2046,0.26171663,0.73828337,,,,,
28,65.46233333,1.979666667,33.82466667,0,23.278,73.221,69.27233333,267.038,1.167551071,2047,0.259410022,0.740589978,,,,,
29,65.24333333,2.129333333,33.86766667,0,23.88133333,73.87933333,68.969,267.97,1.171625988,2048,0.257375826,0.742624174,,,,,
30,64.96166667,2.283,33.73366667,0,24.004,74.31466667,68.59866667,267.8956667,1.171300986,2049,0.256064861,0.743935139,,,,,
31,64.71,2.450666667,33.57,0,24.72966667,74.65866667,68.514,268.633,1.174524775,2050,0.255046848,0.744953152,,,,,
