,Commercial,District_Heating,Electric_Vehicle,Electrolyzer,Heating,Industrial,Residential,Total,scaling_factor,year,share of residential,share of non-residential,,yr_timeframe,average_residential_load_share,average_non_residential_load_share,average_scaling_factor
0,68.22566667,0.108,1.782666667,0,1.08,64.86166667,85.346,221.404,1,2019,,,,1,0.344511373,0.655488627,0.960241911
1,68.12966667,0.125666667,2.623666667,0,1.392333333,64.38633333,83.10066667,219.7583333,0.992567132,2020,,,,2,0.33384334,0.66615666,1.000712423
2,67.86566667,0.143,3.265,0,1.566333333,64.05233333,79.784,216.6763333,0.978646878,2021,,,,3,0.304546059,0.695453941,1.098480605
3,67.47966667,0.163333333,4.128333333,0,1.835666667,63.51666667,77.177,214.3006667,0.96791687,2022,,,,4,0.278845834,0.721154166,1.188805381
4,67.04433333,0.186,4.917333333,0,2.143,63.23133333,75.50866667,213.0306667,0.96218075,2023,,,,5,0.26051304,0.73948696,1.248751904
5,66.578,0.215666667,5.709333333,0,2.472333333,62.80433333,74.13933333,211.919,0.957159762,2024,,,,,,,
6,66.04666667,0.240333333,6.542333333,0,3.059,62.34666667,73.191,211.426,0.954933064,2025,0.346177859,0.653822141,,,,,
7,65.47766667,0.277333333,7.439333333,0,3.646,61.826,73.066,211.7323333,0.956316658,2026,0.345086642,0.654913358,,,,,
8,64.90066667,0.316666667,8.404666667,0,4.348,61.284,73.176,212.43,0.95946776,2027,0.34447112,0.65552888,,,,,
9,64.349,0.358,9.485,0,4.980666667,60.73433333,73.32533333,213.2323333,0.963091603,2028,0.343875304,0.656124696,,,,,
10,63.74566667,0.425333333,10.73,0,5.657666667,60.17333333,73.45433333,214.1863333,0.967400469,2029,0.34294594,0.65705406,,,,,
11,63.22466667,0.465333333,12.21466667,0,6.283333333,59.91366667,73.54933333,215.651,0.974015826,2030,0.341057233,0.658942767,,,,,
12,62.94066667,0.508,13.32766667,0,6.843333333,59.74833333,73.741,217.109,0.980601073,2031,0.339649669,0.660350331,,,,,
13,62.66666667,0.553666667,16.22033333,0,7.787,59.65566667,74.014,220.8973333,0.997711574,2032,0.335060632,0.664939368,,,,,
14,62.427,0.611333333,19.53733333,0,8.599333333,59.59266667,74.2,224.9676667,1.016095765,2033,0.329825175,0.670174825,,,,,
15,62.16233333,0.673,23.228,0,9.316,59.635,74.16933333,229.1836667,1.035137878,2034,0.323623993,0.676376007,,,,,
16,61.85033333,0.744333333,26.89466667,0,10.45966667,59.68133333,74.242,233.8723333,1.056314851,2035,0.317446698,0.682553302,,,,,
17,61.59866667,0.821666667,30.74133333,0,11.45233333,59.87233333,74.15566667,238.642,1.077857672,2036,0.310740216,0.689259784,,,,,
18,61.36733333,0.906,34.53333333,0,12.70366667,60.22766667,74.028,243.766,1.101000885,2037,0.303684681,0.696315319,,,,,
19,61.10766667,0.996666667,37.98033333,0,13.54066667,60.50533333,73.90533333,248.036,1.120286896,2038,0.297962124,0.702037876,,,,,
20,60.809,1.095,40.95566667,0,14.34066667,60.79433333,73.729,251.7236667,1.136942723,2039,0.292896576,0.707103424,,,,,
21,60.58933333,1.214,43.43,0,15.009,61.33033333,73.246,254.8186667,1.150921694,2040,0.28744362,0.71255638,,,,,
22,60.48566667,1.344333333,45.385,0,16.48966667,61.893,73.30466667,258.9023333,1.169366106,2041,0.283136369,0.716863631,,,,,
23,60.408,1.507,46.89766667,0,19.32733333,62.76966667,73.72633333,264.636,1.195262958,2042,0.278595253,0.721404747,,,,,
24,60.32266667,1.687333333,47.983,0,20.91666667,63.62533333,73.60533333,268.1403333,1.211090736,2043,0.274503028,0.725496972,,,,,
25,60.21566667,1.835333333,48.30166667,0,21.70933333,64.54933333,72.92266667,269.534,1.217385413,2044,0.270550901,0.729449099,,,,,
26,60.104,1.991333333,48.53866667,0,23.20333333,65.439,72.376,271.6523333,1.226953141,2045,0.266428781,0.733571219,,,,,
27,59.95466667,2.152666667,48.59666667,0,25.49233333,66.16,72.41933333,274.7756667,1.241060083,2046,0.26355803,0.73644197,,,,,
28,59.79133333,2.324333333,48.56766667,0,27.316,66.91466667,72.35133333,277.2653333,1.252304987,2047,0.260946194,0.739053806,,,,,
29,59.59133333,2.500333333,48.62966667,0,28.024,67.515,71.98766667,278.248,1.256743329,2048,0.258717643,0.741282357,,,,,
30,59.33433333,2.681,48.43766667,0,28.168,67.91133333,71.557,278.0893333,1.25602669,2049,0.257316594,0.742683406,,,,,
31,59.104,2.877666667,48.20233333,0,29.01933333,68.22366667,71.41433333,278.8413333,1.259423196,2050,0.256111002,0.743888998,,,,,
