,Commercial,District_Heating,Electric_Vehicle,Electrolyzer,Heating,Industrial,Residential,Total,scaling_factor,year,share of residential,share of non-residential,,yr_timeframe,average_residential_load_share,average_non_residential_load_share,average_scaling_factor
0,70.148,0.070333333,0,0,0.703,66.625,75.64566667,213.192,1,2019,,,,1,0.315737716,0.684262284,0.968415638
1,70.049,0.081666667,0,0,0.906,66.128,73.68866667,210.8533333,0.989030233,2020,,,,2,0.29056254,0.70943746,1.064130924
2,69.778,0.093666667,0.367333333,0,1.019333333,65.78566667,70.81933333,207.8633333,0.975005316,2021,,,,3,0.25286017,0.74713983,1.226440955
3,69.381,0.106333333,0.799,0,1.195,65.23266667,68.56466667,205.2786667,0.962881659,2022,,,,4,0.227029629,0.772970371,1.356681927
4,68.93333333,0.121333333,1.533666667,0,1.395,64.941,67.12733333,204.0516667,0.957126284,2023,,,,5,0.215253717,0.784746283,1.415599553
5,68.454,0.14,2.551,0,1.609333333,64.502,65.94766667,203.204,0.953150212,2024,,,,,,,
6,67.90733333,0.156333333,3.919,0,1.991333333,64.032,65.12966667,203.1356667,0.952829687,2025,0.320621522,0.679378478,,,,,
7,67.32266667,0.180333333,5.718333333,0,2.373,63.49766667,65.024,204.116,0.957428046,2026,0.318563954,0.681436046,,,,,
8,66.72933333,0.206,8.011,0,2.83,62.941,65.11733333,205.8346667,0.965489637,2027,0.316357465,0.683642535,,,,,
9,66.162,0.232666667,10.88366667,0,3.242,62.377,65.246,208.1433333,0.976318686,2028,0.313466682,0.686533318,,,,,
10,65.54166667,0.276666667,14.39966667,0,3.682333333,61.80066667,65.36166667,211.0626667,0.990012133,2029,0.309678958,0.690321042,,,,,
11,65.006,0.303,18.6,0,4.09,61.53466667,65.44066667,214.9743333,1.008360226,2030,0.304411534,0.695588466,,,,,
12,64.71366667,0.330666667,24.068,0,4.454333333,61.36533333,65.63066667,220.5626667,1.034572905,2031,0.297560179,0.702439821,,,,,
13,64.43233333,0.359666667,29.29033333,0,5.068333333,61.27066667,65.904,226.3253333,1.061603312,2032,0.291191441,0.708808559,,,,,
14,64.18633333,0.397666667,35.281,0,5.597,61.20733333,66.09533333,232.7646667,1.091807698,2033,0.28395776,0.71604224,,,,,
15,63.91366667,0.438,41.94533333,0,6.064,61.25133333,66.08166667,239.694,1.124310481,2034,0.275691785,0.724308215,,,,,
16,63.59333333,0.484333333,48.56633333,0,6.807666667,61.30066667,66.18133333,246.9336667,1.158268916,2035,0.268012597,0.731987403,,,,,
17,63.334,0.534333333,55.513,0,7.454333333,61.49833333,66.12366667,254.4576667,1.193561047,2036,0.259861169,0.740138831,,,,,
18,63.09666667,0.589,62.36066667,0,8.268666667,61.864,66.026,262.205,1.229900747,2037,0.251810606,0.748189394,,,,,
19,62.82966667,0.648333333,68.585,0,8.813,62.15133333,65.93566667,268.963,1.261599872,2038,0.245147722,0.754852278,,,,,
20,62.52266667,0.712333333,73.95833333,0,9.334333333,62.44933333,65.80066667,274.7776667,1.288874192,2039,0.239468758,0.760531242,,,,,
21,62.29666667,0.789666667,78.426,0,9.769,63.00133333,65.37333333,279.656,1.311756539,2040,0.233763385,0.766236615,,,,,
22,62.18966667,0.874333333,81.95633333,0,10.733,63.58133333,65.48733333,284.822,1.335988217,2041,0.229923718,0.770076282,,,,,
23,62.11033333,0.980333333,84.68833333,0,12.57966667,64.48366667,65.98266667,290.825,1.364145934,2042,0.226880999,0.773119001,,,,,
24,62.02266667,1.097666667,86.648,0,13.61433333,65.365,65.95566667,294.7033333,1.382337674,2043,0.223803599,0.776196401,,,,,
25,61.91233333,1.193666667,87.224,0,14.13033333,66.31633333,65.38566667,296.1623333,1.38918127,2044,0.220776444,0.779223556,,,,,
26,61.79733333,1.295333333,87.65166667,0,15.10266667,67.233,64.96733333,298.0473333,1.398023065,2045,0.217976563,0.782023437,,,,,
27,61.644,1.4,87.75633333,0,16.59266667,67.97533333,65.14833333,300.5166667,1.409605739,2046,0.216787754,0.783212246,,,,,
28,61.47633333,1.512,87.70466667,0,17.77966667,68.75366667,65.22166667,302.448,1.418664865,2047,0.215645885,0.784354115,,,,,
29,61.27033333,1.626333333,87.816,0,18.24033333,69.372,65.00033333,303.3253333,1.422780092,2048,0.214292465,0.785707535,,,,,
30,61.006,1.743666667,87.469,0,18.33366667,69.781,64.71166667,303.045,1.421465158,2049,0.213538143,0.786461857,,,,,
31,60.76966667,1.872,87.044,0,18.888,70.10466667,64.70633333,303.3846667,1.423058401,2050,0.213281489,0.786718511,,,,,
