,Commercial,District_Heating,Electric_Vehicle,Electrolyzer,Heating,Industrial,Residential,Total,scaling_factor,year,share of residential,share of non-residential,,yr_timeframe,average_residential_load_share,average_non_residential_load_share,average_scaling_factor
0,106.354,0.127333333,0,0,1.273,101.0686667,104.5766667,313.3996667,1,2019,,,,1,0.304244613,0.695755387,0.941767434
1,106.2043333,0.147666667,0,0,1.641,100.3223333,101.832,310.1473333,0.98962241,2020,,,,2,0.29984551,0.70015449,0.964826383
2,105.793,0.169,0.137333333,0,1.846,99.80266667,97.782,305.53,0.974889359,2021,,,,3,0.284504948,0.715495052,1.018325482
3,105.191,0.192666667,0.298666667,0,2.164,98.96566667,94.599,301.411,0.961746396,2022,,,,4,0.267007373,0.732992627,1.07604454
4,104.5123333,0.219,0.573,0,2.526333333,98.52233333,92.563,298.916,0.953785316,2023,,,,5,0.250534492,0.749465508,1.126908594
5,103.786,0.253666667,0.953666667,0,2.914666667,97.857,90.89233333,296.6573333,0.946578331,2024,,,,,,,
6,102.9573333,0.283333333,1.465333333,0,3.606666667,97.144,89.735,295.1916667,0.941901661,2025,0.303988934,0.696011066,,,,,
7,102.0703333,0.327,2.137666667,0,4.298,96.33266667,89.582,294.7476667,0.94048494,2026,0.303927766,0.696072234,,,,,
8,101.1706667,0.372666667,2.995,0,5.125333333,95.488,89.716,294.8676667,0.940867838,2027,0.30425852,0.69574148,,,,,
9,100.3106667,0.421666667,4.068666667,0,5.871666667,94.632,89.89866667,295.2033333,0.941938887,2028,0.30453134,0.69546866,,,,,
10,99.37033333,0.501,5.382666667,0,6.669333333,93.75733333,90.057,295.7376667,0.943643846,2029,0.304516503,0.695483497,,,,,
11,98.558,0.548,6.953,0,7.407333333,93.35366667,90.17233333,296.9923333,0.947647253,2030,0.303618387,0.696381613,,,,,
12,98.11566667,0.598333333,8.997333333,0,8.067,93.09633333,90.41133333,299.286,0.954965917,2031,0.302090086,0.697909914,,,,,
13,97.68866667,0.652,10.94933333,0,9.18,92.95166667,90.752,302.1736667,0.964179924,2032,0.300330605,0.699669395,,,,,
14,97.315,0.72,13.189,0,10.137,92.855,90.985,305.201,0.973839581,2033,0.298115013,0.701884987,,,,,
15,96.902,0.793333333,15.68033333,0,10.982,92.92066667,90.95,308.2283333,0.983499238,2034,0.295073457,0.704926543,,,,,
16,96.416,0.876666667,18.155,0,12.33,92.99466667,91.04666667,311.819,0.994956387,2035,0.291985628,0.708014372,,,,,
17,96.02333333,0.968,20.752,0,13.50033333,93.29333333,90.94433333,315.4813333,1.006642211,2036,0.288271678,0.711728322,,,,,
18,95.663,1.067333333,23.312,0,14.975,93.847,90.791,319.6553333,1.019960668,2037,0.284027797,0.715972203,,,,,
19,95.25833333,1.174,25.63866667,0,15.962,94.28133333,90.64466667,322.959,1.030502053,2038,0.28066927,0.71933073,,,,,
20,94.79266667,1.290333333,27.64733333,0,16.90533333,94.73166667,90.43233333,325.7996667,1.039566092,2039,0.277570368,0.722429632,,,,,
21,94.45033333,1.43,29.31733333,0,17.69266667,95.56866667,89.84133333,328.3003333,1.047545254,2040,0.273655931,0.726344069,,,,,
22,94.288,1.584,30.63733333,0,19.43833333,96.44633333,89.92566667,332.3196667,1.060370198,2041,0.270599894,0.729400106,,,,,
23,94.16733333,1.775333333,31.65833333,0,22.783,97.81366667,90.46633333,338.664,1.080613785,2042,0.267127103,0.732872897,,,,,
24,94.03433333,1.987666667,32.39133333,0,24.65733333,99.14866667,90.33466667,342.554,1.093026051,2043,0.263709274,0.736290726,,,,,
25,93.86766667,2.162,32.60633333,0,25.59133333,100.59,89.50466667,344.322,1.09866741,2044,0.259944664,0.740055336,,,,,
26,93.69333333,2.345666667,32.766,0,27.35266667,101.978,88.84833333,346.984,1.107161356,2045,0.256058877,0.743941123,,,,,
27,93.461,2.535666667,32.80533333,0,30.051,103.1023333,88.92966667,350.885,1.119608721,2046,0.253443911,0.746556089,,,,,
28,93.20666667,2.738,32.786,0,32.20066667,104.2803333,88.87366667,354.0853333,1.129820389,2047,0.250995052,0.749004948,,,,,
29,92.89433333,2.945333333,32.82766667,0,33.035,105.217,88.448,355.3673333,1.133911012,2048,0.248891757,0.751108243,,,,,
30,92.49333333,3.158,32.698,0,33.205,105.8356667,87.939,355.329,1.133788698,2049,0.247486133,0.752513867,,,,,
31,92.135,3.390333333,32.539,0,34.20833333,106.3243333,87.789,356.386,1.137161388,2050,0.246331225,0.753668775,,,,,
