,Commercial,District_Heating,Electric_Vehicle,Electrolyzer,Heating,Industrial,Residential,Total,scaling_factor,year,share of residential,share of non-residential,,yr_timeframe,average_residential_load_share,average_non_residential_load_share,average_scaling_factor
0,190.4013333,0.065666667,1.239666667,0,0.651666667,180.886,59.22133333,432.4656667,1,2019,,,,1,0.124178557,0.875821443,0.948227721
1,190.1333333,0.076,1.824666667,0,0.839666667,179.5436667,57.67566667,430.093,0.99451363,2020,,,,2,0.127208093,0.872791907,0.934579315
2,189.3973333,0.087,2.203666667,0,0.944333333,178.614,55.4,426.6463333,0.986543826,2021,,,,3,0.125269914,0.874730086,0.950873942
3,188.3196667,0.099,2.725,0,1.107333333,177.1133333,53.612,422.9763333,0.978057603,2022,,,,4,0.120593791,0.879406209,0.980593142
4,187.1043333,0.112666667,3.138666667,0,1.292666667,176.321,52.46966667,420.439,0.972190471,2023,,,,5,0.114747068,0.885252932,1.015533796
5,185.804,0.130666667,3.503666667,0,1.491333333,175.13,51.53233333,417.592,0.965607289,2024,,,,,,,
6,184.3203333,0.145666667,3.832,0,1.845333333,173.8536667,50.88266667,414.8796667,0.9593355,2025,0.122644397,0.877355603,,,,,
7,182.7323333,0.168333333,4.127333333,0,2.199333333,172.4023333,50.798,412.4276667,0.953665686,2026,0.123168265,0.876831735,,,,,
8,181.1223333,0.192,4.378333333,0,2.622666667,170.8903333,50.87266667,410.0783333,0.94823327,2027,0.124055973,0.875944027,,,,,
9,179.5823333,0.216666667,4.603333333,0,3.004,169.3593333,50.97466667,407.7403333,0.942827061,2028,0.125017474,0.874982526,,,,,
10,177.899,0.257666667,4.825666667,0,3.412666667,167.794,51.06466667,405.2536667,0.937077086,2029,0.126006674,0.873993326,,,,,
11,176.4446667,0.281666667,5.089,0,3.79,167.0716667,51.12866667,403.8056667,0.933728843,2030,0.126617011,0.873382989,,,,,
12,175.652,0.308,4.862333333,0,4.127333333,166.612,51.26933333,402.831,0.9314751,2031,0.127272562,0.872727438,,,,,
13,174.8876667,0.335333333,5.917333333,0,4.697,166.3543333,51.47033333,403.662,0.93339664,2032,0.127508493,0.872491507,,,,,
14,174.2196667,0.370666667,7.127333333,0,5.186666667,166.1816667,51.60933333,404.6953333,0.935786039,2033,0.127526386,0.872473614,,,,,
15,173.4793333,0.408,8.473666667,0,5.619,166.3003333,51.593,405.8733333,0.938509955,2034,0.127116013,0.872883987,,,,,
16,172.6096667,0.451333333,9.811333333,0,6.309,166.433,51.65666667,407.271,0.941741811,2035,0.126836103,0.873163897,,,,,
17,171.9066667,0.498,11.21466667,0,6.907666667,166.9686667,51.604,409.0996667,0.945970277,2036,0.126140411,0.873859589,,,,,
18,171.2616667,0.549,12.59833333,0,7.662333333,167.961,51.52066667,411.553,0.951643175,2037,0.125185983,0.874814017,,,,,
19,170.537,0.604333333,13.85533333,0,8.167,168.739,51.44266667,413.3453333,0.955787627,2038,0.124454451,0.875545549,,,,,
20,169.7033333,0.663666667,14.941,0,8.649666667,169.5466667,51.32833333,414.8326667,0.959226821,2039,0.123732621,0.876267379,,,,,
21,169.0903333,0.736,15.84366667,0,9.052666667,171.0453333,50.99333333,416.7613333,0.96368652,2040,0.122356201,0.877643799,,,,,
22,168.8006667,0.814666667,16.557,0,9.945666667,172.6183333,51.057,419.7933333,0.970697481,2041,0.121624133,0.878375867,,,,,
23,168.5843333,0.913333333,17.10833333,0,11.657,175.0676667,51.39466667,424.7253333,0.982101855,2042,0.121006831,0.878993169,,,,,
24,168.346,1.023,17.50433333,0,12.61633333,177.4583333,51.34066667,428.2886667,0.99034143,2043,0.119873979,0.880126021,,,,,
25,168.0473333,1.112666667,17.621,0,13.094,180.0403333,50.88033333,430.7956667,0.996138422,2044,0.118107811,0.881892189,,,,,
26,167.7356667,1.207333333,17.70766667,0,13.995,182.5263333,50.52533333,433.6973333,1.00284801,2045,0.116499064,0.883500936,,,,,
27,167.3193333,1.304666667,17.72866667,0,15.376,184.5396667,50.608,436.8763333,1.010198883,2046,0.115840562,0.884159438,,,,,
28,166.8636667,1.409,17.718,0,16.47566667,186.6503333,50.611,439.7276667,1.016792084,2047,0.115096238,0.884903762,,,,,
29,166.305,1.515666667,17.74066667,0,16.903,188.3283333,50.396,441.1886667,1.020170387,2048,0.114227776,0.885772224,,,,,
30,165.5873333,1.625,17.67033333,0,16.98966667,189.4373333,50.13166667,441.4413333,1.020754634,2049,0.113563599,0.886436401,,,,,
31,164.9453333,1.744666667,17.58466667,0,17.50333333,190.3136667,50.078,442.1696667,1.022438775,2050,0.113255168,0.886744832,,,,,
