,Commercial,District_Heating,Electric_Vehicle,Electrolyzer,Heating,Industrial,Residential,Total,scaling_factor,year,share of residential,share of non-residential,,yr_timeframe,average_residential_load_share,average_non_residential_load_share,average_scaling_factor
0,50.97,0.068,0.527333333,0,0.682666667,48.402,60.578,161.228,1,2019,,,,1,0.332083939,0.667916061,0.972734678
1,50.89833333,0.079,0.776,0.051333333,0.879666667,48.04,58.99533333,159.7196667,0.990644718,2020,,,,2,0.305013933,0.694986067,1.070725101
2,50.70133333,0.090666667,1.166666667,0.051333333,0.989666667,47.792,56.66433333,157.456,0.97660456,2021,,,,3,0.261311396,0.738688604,1.252817128
3,50.41266667,0.103333333,1.658666667,0.051333333,1.16,47.389,54.83333333,155.6083333,0.965144599,2022,,,,4,0.2247879,0.7752121,1.44444472
4,50.08766667,0.117666667,2.294333333,0.103,1.354333333,47.17733333,53.66233333,154.7966667,0.96011032,2023,,,,5,0.198554461,0.801445539,1.609348941
5,49.73966667,0.136,3.086666667,0.154333333,1.562333333,46.859,52.70166667,154.2396667,0.956655585,2024,,,,,,,
6,49.342,0.151666667,4.083666667,0.205666667,1.933666667,46.517,52.036,154.2696667,0.956841657,2025,0.337305454,0.662694546,,,,,
7,48.917,0.175,5.335333333,0.257,2.304333333,46.12933333,51.949,155.067,0.961787035,2026,0.335010028,0.664989972,,,,,
8,48.48566667,0.2,6.878,0.36,2.748,45.72433333,52.02566667,156.4216667,0.970189214,2027,0.332598851,0.667401149,,,,,
9,48.07366667,0.226,8.773,0.463,3.148333333,45.315,52.13066667,158.1296667,0.980782908,2028,0.329670376,0.670329624,,,,,
10,47.62333333,0.268333333,11.06933333,0.617,3.575666667,44.89633333,52.22233333,160.2723333,0.994072576,2029,0.325834985,0.674165015,,,,,
11,47.234,0.293666667,13.812,1.182666667,3.971333333,44.703,52.28833333,163.485,1.013998809,2030,0.319835663,0.680164337,,,,,
12,47.02166667,0.320666667,17.14,1.542666667,4.325333333,44.58033333,52.43066667,167.3613333,1.038041366,2031,0.313278256,0.686721744,,,,,
13,46.817,0.349333333,20.85933333,1.954,4.921666667,44.51166667,52.635,172.048,1.067109931,2032,0.305932065,0.694067935,,,,,
14,46.638,0.386,25.12533333,2.468,5.435,44.46566667,52.77566667,177.2936667,1.099645636,2033,0.297673728,0.702326272,,,,,
15,46.44,0.425333333,29.87133333,3.085333333,5.888,44.498,52.75833333,182.9663333,1.134829765,2034,0.288349951,0.711650049,,,,,
16,46.207,0.47,34.587,3.856666667,6.610666667,44.53366667,52.822,189.087,1.172792567,2035,0.27935289,0.72064711,,,,,
17,46.019,0.519,39.53366667,4.731,7.238666667,44.67733333,52.767,195.4856667,1.212479635,2036,0.269927718,0.730072282,,,,,
18,45.84633333,0.572,44.41033333,5.810666667,8.028666667,44.94333333,52.68133333,202.2926667,1.254699349,2037,0.26042137,0.73957863,,,,,
19,45.65266667,0.629333333,48.843,7.147666667,8.557666667,45.15166667,52.60066667,208.5826667,1.293712424,2038,0.252181389,0.747818611,,,,,
20,45.42933333,0.691666667,52.66966667,8.793,9.063666667,45.36866667,52.482,214.498,1.330401667,2039,0.24467361,0.75532639,,,,,
21,45.26533333,0.766666667,55.85133333,10.747,9.486,45.77033333,52.13966667,220.0263333,1.364690583,2040,0.23697012,0.76302988,,,,,
22,45.18766667,0.849,58.36533333,13.11233333,10.42166667,46.192,52.202,226.33,1.403788424,2041,0.230645518,0.769354482,,,,,
23,45.12933333,0.952,60.311,15.838,12.215,46.84766667,52.54133333,233.8343333,1.450333275,2042,0.224694691,0.775305309,,,,,
24,45.066,1.065666667,61.70666667,18.87166667,13.21966667,47.488,52.48233333,239.9,1.487954946,2043,0.218767542,0.781232458,,,,,
25,44.986,1.159,62.11666667,22.16266667,13.72033333,48.18,52.00933333,244.334,1.515456372,2044,0.212861629,0.787138371,,,,,
26,44.90233333,1.257666667,62.421,25.608,14.665,48.846,51.643,249.343,1.546524177,2045,0.207116302,0.792883698,,,,,
27,44.791,1.359333333,62.49633333,29.10433333,16.11166667,49.385,51.72133333,254.969,1.58141886,2046,0.202853419,0.797146581,,,,,
28,44.669,1.468,62.45866667,32.65266667,17.264,49.951,51.717,260.1803333,1.613741616,2047,0.198773671,0.801226329,,,,,
29,44.51966667,1.579333333,62.538,35.42933333,17.71166667,50.40033333,51.49266667,263.671,1.635392116,2048,0.195291354,0.804708646,,,,,
30,44.32766667,1.693333333,62.291,36.20066667,17.80233333,50.698,51.218,264.231,1.638865458,2049,0.193837968,0.806162032,,,,,
31,44.15533333,1.817666667,61.98866667,36.04633333,18.34033333,50.93333333,51.15666667,264.4383333,1.640151421,2050,0.19345405,0.80654595,,,,,
