,Commercial,District_Heating,Electric_Vehicle,Electrolyzer,Heating,Industrial,Residential,Total,scaling_factor,year,share of residential,share of non-residential,,yr_timeframe,average_residential_load_share,average_non_residential_load_share,average_scaling_factor
0,35.36466667,0.04,0.637333333,0,0.400666667,33.61666667,35.16333333,105.2226667,1,2019,,,,1,0.296451686,0.703548314,0.968896436
1,35.315,0.046666667,0.938,0,0.516666667,33.36966667,34.24433333,104.4303333,0.992469937,2020,,,,2,0.281496344,0.718503656,1.030997757
2,35.17866667,0.053,1.233333333,0,0.581,33.19666667,32.89,103.1326667,0.98013736,2021,,,,3,0.250895469,0.749104531,1.159109571
3,34.97833333,0.060666667,1.62,0,0.681333333,32.919,31.82566667,102.085,0.970180696,2022,,,,4,0.227388042,0.772611958,1.268296438
4,34.75233333,0.068666667,2.035,0,0.795333333,32.77133333,31.14566667,101.5683333,0.965270474,2023,,,,5,0.214012416,0.785987584,1.326484893
5,34.511,0.08,2.502333333,0,0.917333333,32.55,30.587,101.1476667,0.961272603,2024,,,,,,,
6,34.23533333,0.089,3.047333333,0,1.135333333,32.31266667,30.20066667,101.0203333,0.960062471,2025,0.298956316,0.701043684,,,,,
7,33.94066667,0.102666667,3.693666667,0,1.352666667,32.04266667,30.14966667,101.282,0.962549261,2026,0.297680404,0.702319596,,,,,
8,33.64133333,0.117666667,4.453333333,0,1.613333333,31.762,30.19433333,101.782,0.967301088,2027,0.296656907,0.703343093,,,,,
9,33.35566667,0.132666667,5.359666667,0,1.848333333,31.47733333,30.25533333,102.429,0.973449954,2028,0.295378587,0.704621413,,,,,
10,33.04266667,0.158,6.441,0,2.099333333,31.18633333,30.30866667,103.236,0.981119404,2029,0.293586217,0.706413783,,,,,
11,32.77266667,0.172666667,7.731666667,0,2.331666667,31.05166667,30.347,104.4073333,0.992251353,2030,0.29065966,0.70934034,,,,,
12,32.62533333,0.188666667,9.119,0,2.539666667,30.96633333,30.42966667,105.8686667,1.006139362,2031,0.287428449,0.712571551,,,,,
13,32.48333333,0.205333333,11.09766667,0,2.889666667,30.91766667,30.54733333,108.141,1.027734835,2032,0.28247689,0.71752311,,,,,
14,32.359,0.226666667,13.36733333,0,3.191,30.88533333,30.62866667,110.658,1.051655537,2033,0.276786736,0.723213264,,,,,
15,32.222,0.249666667,15.89233333,0,3.457,30.90733333,30.61833333,113.3466667,1.077207699,2034,0.270129985,0.729870015,,,,,
16,32.06033333,0.276333333,18.401,0,3.881333333,30.93166667,30.65466667,116.2053333,1.104375483,2035,0.263797416,0.736202584,,,,,
17,31.93,0.304666667,21.03266667,0,4.249666667,31.031,30.62233333,119.1703333,1.132553822,2036,0.256962723,0.743037277,,,,,
18,31.81,0.335666667,23.62733333,0,4.714,31.215,30.57233333,122.2743333,1.16205317,2037,0.250030669,0.749969331,,,,,
19,31.67533333,0.369666667,25.98566667,0,5.024666667,31.359,30.52466667,124.939,1.187377244,2038,0.24431656,0.75568344,,,,,
20,31.52033333,0.406,28.02166667,0,5.321333333,31.50866667,30.456,127.234,1.209188134,2039,0.23936998,0.76063002,,,,,
21,31.40666667,0.45,29.714,0,5.569333333,31.78666667,30.25733333,129.184,1.227720263,2040,0.234218892,0.765781108,,,,,
22,31.35266667,0.498333333,31.05166667,0,6.119,32.07833333,30.292,131.392,1.248704335,2041,0.230546761,0.769453239,,,,,
23,31.31266667,0.558666667,32.087,0,7.171666667,32.533,30.487,134.15,1.274915417,2042,0.227260529,0.772739471,,,,,
24,31.26833333,0.625666667,32.82966667,0,7.761666667,32.97666667,30.45133333,135.9133333,1.29167353,2043,0.22404964,0.77595036,,,,,
25,31.21266667,0.680333333,33.04766667,0,8.055666667,33.45566667,30.17633333,136.6283333,1.298468644,2044,0.220864389,0.779135611,,,,,
26,31.155,0.738333333,33.20966667,0,8.610333333,33.917,29.96233333,137.5926667,1.307633336,2045,0.217761121,0.782238879,,,,,
27,31.07766667,0.798,33.24933333,0,9.459666667,34.29066667,30.00533333,138.8806667,1.319874045,2046,0.21605119,0.78394881,,,,,
28,30.993,0.862,33.23,0,10.13633333,34.682,30.00033333,139.9036667,1.329596285,2047,0.214435647,0.785564353,,,,,
29,30.88933333,0.927333333,33.27166667,0,10.399,34.99333333,29.86833333,140.349,1.333828579,2048,0.212814721,0.787185279,,,,,
30,30.756,0.994333333,33.14033333,0,10.45233333,35.199,29.707,140.249,1.332878214,2049,0.211816127,0.788183873,,,,,
31,30.63666667,1.067333333,32.97966667,0,10.76866667,35.361,29.66933333,140.4826667,1.335098901,2050,0.211195687,0.788804313,,,,,
