,Commercial,District_Heating,Electric_Vehicle,Electrolyzer,Heating,Industrial,Residential,Total,scaling_factor,year,share of residential,share of non-residential,,yr_timeframe,average_residential_load_share,average_non_residential_load_share,average_scaling_factor
0,123.7076667,0.139,0.027666667,0,1.391,117.507,124.6226667,367.395,1,2019,,,,1,0.303470543,0.696529457,0.961017071
1,123.5333333,0.161666667,0.041333333,0,1.792666667,116.6323333,121.3683333,363.5296667,0.98947908,2020,,,,2,0.285194438,0.714805562,1.033328888
2,123.055,0.184666667,0.526666667,0,2.016666667,116.0286667,116.5766667,358.3883333,0.975485059,2021,,,,3,0.254350887,0.745649113,1.161030317
3,122.355,0.210333333,1.099666667,0,2.363333333,115.053,112.8116667,353.893,0.963249364,2022,,,,4,0.230827792,0.769172208,1.269012915
4,121.5653333,0.239666667,2.063666667,0,2.759333333,114.5383333,110.4056667,351.572,0.956931913,2023,,,,5,0.21742132,0.78257868,1.326961142
5,120.7206667,0.277333333,3.393666667,0,3.183666667,113.765,108.4313333,349.7716667,0.952031646,2024,,,,,,,
6,119.7563333,0.309333333,5.179333333,0,3.939333333,112.9353333,107.0633333,349.183,0.950429374,2025,0.306610956,0.693389044,,,,,
7,118.725,0.357,7.523666667,0,4.694666667,111.993,106.8843333,350.1776667,0.953136724,2026,0.305228869,0.694771131,,,,,
8,117.6786667,0.407,10.50866667,0,5.599,111.011,107.042,352.2463333,0.958767358,2027,0.30388393,0.69611607,,,,,
9,116.6783333,0.46,14.24733333,0,6.413333333,110.0163333,107.2573333,355.0726667,0.966460258,2028,0.302071501,0.697928499,,,,,
10,115.5846667,0.547333333,18.82133333,0,7.285,108.9996667,107.4466667,358.6846667,0.976291639,2029,0.299557457,0.700442543,,,,,
11,114.6396667,0.598666667,24.28533333,0,8.091333333,108.5306667,107.5816667,363.7273333,0.990017102,2030,0.29577559,0.70422441,,,,,
12,114.1246667,0.653333333,31.386,0,8.811666667,108.2316667,107.8763333,371.0836667,1.010040057,2031,0.290706229,0.709293771,,,,,
13,113.628,0.712,38.19633333,0,10.027,108.0646667,108.298,378.926,1.031385838,2032,0.285802505,0.714197495,,,,,
14,113.1936667,0.786666667,46.00866667,0,11.07266667,107.9533333,108.589,387.604,1.055006192,2033,0.280154488,0.719845512,,,,,
15,112.713,0.866,54.69933333,0,11.99566667,108.0303333,108.554,396.8583333,1.080195249,2034,0.273533377,0.726466623,,,,,
16,112.148,0.957666667,63.33366667,0,13.46766667,108.117,108.6863333,406.7103333,1.107011073,2035,0.267232781,0.732767219,,,,,
17,111.6913333,1.057666667,72.392,0,14.74666667,108.4653333,108.5743333,416.9273333,1.13482038,2036,0.260415484,0.739584516,,,,,
18,111.272,1.165666667,81.322,0,16.357,109.11,108.3986667,427.6253333,1.163938903,2037,0.253489815,0.746510185,,,,,
19,110.8013333,1.282666667,89.439,0,17.43533333,109.616,108.2333333,436.8076667,1.188931985,2038,0.247782586,0.752217414,,,,,
20,110.2596667,1.409333333,96.44566667,0,18.46566667,110.1413333,107.9913333,444.713,1.210449244,2039,0.242833768,0.757166232,,,,,
21,109.8613333,1.562,102.272,0,19.326,111.1156667,107.287,451.424,1.228715687,2040,0.237663483,0.762336517,,,,,
22,109.673,1.73,106.876,0,21.23266667,112.1376667,107.418,459.0673333,1.249519817,2041,0.233991818,0.766008182,,,,,
23,109.5326667,1.939333333,110.4386667,0,24.886,113.7293333,108.123,468.649,1.275599831,2042,0.230712111,0.769287889,,,,,
24,109.378,2.171333333,112.994,0,26.933,115.283,108.0056667,474.765,1.292246764,2043,0.2274929,0.7725071,,,,,
25,109.184,2.361666667,113.745,0,27.95333333,116.961,107.0346667,477.2396667,1.298982476,2044,0.224278647,0.775721353,,,,,
26,108.981,2.562333333,114.303,0,29.87733333,118.5766667,106.2846667,480.585,1.308088025,2045,0.221156854,0.778843146,,,,,
27,108.7106667,2.769666667,114.4396667,0,32.82433333,119.885,106.4526667,485.082,1.320328257,2046,0.219452931,0.780547069,,,,,
28,108.4146667,2.991,114.3716667,0,35.17266667,121.2573333,106.4516667,488.659,1.330064372,2047,0.217844482,0.782155518,,,,,
29,108.0516667,3.217333333,114.5166667,0,36.08433333,122.3476667,105.995,490.2126667,1.334293245,2048,0.216222483,0.783777517,,,,,
30,107.5853333,3.449666667,114.064,0,36.26966667,123.069,105.4346667,489.8723333,1.333366903,2049,0.215228866,0.784771134,,,,,
31,107.168,3.703333333,113.5106667,0,37.366,123.6386667,105.3156667,490.7023333,1.335626052,2050,0.214622307,0.785377693,,,,,
