,Commercial,District_Heating,Electric_Vehicle,Electrolyzer,Heating,Industrial,Residential,Total,scaling_factor,year,share of residential,share of non-residential,,yr_timeframe,average_residential_load_share,average_non_residential_load_share,average_scaling_factor
0,54.13166667,0.045,0,0,0.452,51.38733333,51.392,157.408,1,2019,,,,1,0.292408404,0.707591596,0.962655435
1,54.05533333,0.052666667,0,0.051333333,0.582666667,51.00133333,50.066,155.8093333,0.989843803,2020,,,,2,0.272809826,0.727190174,1.043257014
2,53.846,0.06,0.207666667,0.051333333,0.655666667,50.73766667,48.12366667,153.682,0.97632903,2021,,,,3,0.23923301,0.76076699,1.194024023
3,53.53966667,0.068333333,0.452666667,0.051333333,0.768666667,50.30933333,46.59733333,151.7873333,0.96429237,2022,,,,4,0.208516388,0.791483612,1.362234872
4,53.19433333,0.078,0.868666667,0.103,0.897333333,50.085,45.625,150.8513333,0.958346039,2023,,,,5,0.185173613,0.814826387,1.518725577
5,52.82433333,0.090333333,1.444333333,0.154333333,1.035333333,49.74666667,44.82666667,150.122,0.953712645,2024,,,,,,,
6,52.403,0.100666667,2.219333333,0.205666667,1.280666667,49.384,44.27366667,149.867,0.952092651,2025,0.295419717,0.704580283,,,,,
7,51.95133333,0.115666667,3.238666667,0.257,1.526333333,48.972,44.20233333,150.2633333,0.954610524,2026,0.294165798,0.705834202,,,,,
8,51.49333333,0.132666667,4.536666667,0.36,1.82,48.543,44.26566667,151.1513333,0.960251914,2027,0.292856607,0.707143393,,,,,
9,51.056,0.149666667,6.163666667,0.463,2.085,48.10766667,44.352,152.377,0.968038473,2028,0.29106755,0.70893245,,,,,
10,50.577,0.178,8.154666667,0.617,2.368333333,47.66366667,44.431,153.9896667,0.978283611,2029,0.288532347,0.711467653,,,,,
11,50.16333333,0.194666667,10.53333333,1.182666667,2.631,47.45866667,44.484,156.6476667,0.995169665,2030,0.283974865,0.716025135,,,,,
12,49.93833333,0.212666667,13.63,1.542666667,2.864666667,47.32833333,44.615,160.1316667,1.017303229,2031,0.278614473,0.721385527,,,,,
13,49.721,0.231333333,16.58766667,1.954,3.26,47.25566667,44.80433333,163.814,1.040696788,2032,0.273507352,0.726492648,,,,,
14,49.531,0.256,19.98,2.468,3.6,47.20766667,44.937,167.9796667,1.067160924,2033,0.267514521,0.732485479,,,,,
15,49.32066667,0.281333333,23.75433333,3.085333333,3.9,47.24166667,44.92866667,172.512,1.095954462,2034,0.260437921,0.739562079,,,,,
16,49.07333333,0.311333333,27.504,3.856666667,4.379,47.27966667,45,177.404,1.127032934,2035,0.253658317,0.746341683,,,,,
17,48.87333333,0.344,31.43766667,4.731,4.794666667,47.43266667,44.963,182.5763333,1.159892339,2036,0.246269597,0.753730403,,,,,
18,48.69033333,0.379,35.316,5.810666667,5.318,47.71533333,44.898,188.1273333,1.195157383,2037,0.238657505,0.761342495,,,,,
19,48.484,0.417,38.84066667,7.147666667,5.668666667,47.93766667,44.838,193.3336667,1.228232788,2038,0.23192029,0.76807971,,,,,
20,48.24733333,0.458333333,41.884,8.793,6.004,48.16766667,44.749,198.3033333,1.259804669,2039,0.225659343,0.774340657,,,,,
21,48.07266667,0.508,44.414,10.747,6.283333333,48.59466667,44.45833333,203.078,1.290137731,2040,0.21892245,0.78107755,,,,,
22,47.99033333,0.562333333,46.41333333,13.11233333,6.903333333,49.04266667,44.542,208.5663333,1.325004659,2041,0.213562751,0.786437249,,,,,
23,47.92866667,0.630666667,47.96066667,15.838,8.091,49.73966667,44.89066667,215.0793333,1.366381209,2042,0.208716784,0.791283216,,,,,
24,47.86133333,0.706,49.07033333,18.87166667,8.756666667,50.42,44.88033333,220.5663333,1.401239666,2043,0.203477714,0.796522286,,,,,
25,47.77633333,0.767666667,49.39633333,22.16266667,9.088333333,51.155,44.497,224.8433333,1.428411093,2044,0.197902243,0.802097757,,,,,
26,47.68766667,0.833,49.63866667,25.608,9.714,51.86266667,44.219,229.563,1.458394745,2045,0.192622504,0.807377496,,,,,
27,47.56933333,0.900333333,49.698,29.10433333,10.672,52.43566667,44.35666667,234.7363333,1.491260503,2046,0.188963788,0.811036212,,,,,
28,47.43933333,0.972333333,49.66833333,32.65266667,11.43566667,53.037,44.419,239.6243333,1.522313563,2047,0.185369321,0.814630679,,,,,
29,47.28066667,1.046,49.73133333,35.42933333,11.732,53.51466667,44.279,243.013,1.543841482,2048,0.182208359,0.817791641,,,,,
30,47.077,1.121666667,49.535,36.20066667,11.79233333,53.83133333,44.09266667,243.6506667,1.547892526,2049,0.180966739,0.819033261,,,,,
31,46.89433333,1.204,49.29466667,36.04633333,12.14866667,54.08133333,44.10066667,243.77,1.54865064,2050,0.180910968,0.819089032,,,,,
