,Commercial,District_Heating,Electric_Vehicle,Electrolyzer,Heating,Industrial,Residential,Total,scaling_factor,year,share of residential,share of non-residential,,yr_timeframe,average_residential_load_share,average_non_residential_load_share,average_scaling_factor
0,2.903666667,0.002333333,0,0,0.022333333,2.787666667,1.964666667,7.680666667,1,2019,,,,1,0.229979108,0.770020892,0.956418714
1,2.899333333,0.002666667,0,0,0.028666667,2.771333333,1.913,7.615,0.991450395,2020,,,,2,0.222359599,0.777640401,0.999166739
2,2.888333333,0.003,0.007,0,0.032,2.756333333,1.838,7.524666667,0.979689263,2021,,,,3,0.204968356,0.795031644,1.086450829
3,2.871666667,0.003333333,0.015333333,0,0.037666667,2.734666667,1.778333333,7.441,0.968796111,2022,,,,4,0.189584292,0.810415708,1.165636663
4,2.853333333,0.003666667,0.028666667,0,0.044,2.722,1.740666667,7.392333333,0.962459856,2023,,,,5,0.179776574,0.820223426,1.214622573
5,2.833333333,0.004,0.047666667,0,0.050666667,2.703666667,1.709666667,7.349,0.956817985,2024,,,,,,,
6,2.811,0.005,0.073333333,0,0.062666667,2.684,1.688,7.324,0.953563059,2025,0.23047515,0.76952485,,,,,
7,2.786666667,0.005333333,0.107333333,0,0.075,2.661333333,1.685333333,7.321,0.953172468,2026,0.230205345,0.769794655,,,,,
8,2.762,0.006333333,0.150333333,0,0.089333333,2.638333333,1.688,7.334333333,0.954908428,2027,0.230150434,0.769849566,,,,,
9,2.738666667,0.007,0.204666667,0,0.102,2.614333333,1.691333333,7.358,0.957989758,2028,0.229863187,0.770136813,,,,,
10,2.712666667,0.008666667,0.270333333,0,0.116333333,2.59,1.694333333,7.392333333,0.962459856,2029,0.229201425,0.770798575,,,,,
11,2.690333333,0.009666667,0.349333333,0,0.129333333,2.578666667,1.696333333,7.453666667,0.970445274,2030,0.227583739,0.772416261,,,,,
12,2.678333333,0.010333333,0.452333333,0,0.140333333,2.571333333,1.700666667,7.553333333,0.983421578,2031,0.225154457,0.774845543,,,,,
13,2.667,0.011333333,0.550333333,0,0.160333333,2.567,1.707666667,7.663666667,0.99778665,2032,0.222826323,0.777173677,,,,,
14,2.656666667,0.012333333,0.662666667,0,0.176666667,2.563666667,1.712333333,7.784333333,1.013497092,2033,0.219971738,0.780028262,,,,,
15,2.645666667,0.014,0.788,0,0.191333333,2.565333333,1.712,7.916333333,1.0306831,2034,0.216261737,0.783738263,,,,,
16,2.632333333,0.015,0.912333333,0,0.214666667,2.567,1.714333333,8.055666667,1.048823887,2035,0.212810858,0.787189142,,,,,
17,2.621333333,0.016666667,1.042666667,0,0.235333333,2.574333333,1.712333333,8.202666667,1.06796285,2036,0.208753251,0.791246749,,,,,
18,2.611666667,0.018333333,1.171,0,0.261,2.589333333,1.709333333,8.360666667,1.088533981,2037,0.204449406,0.795550594,,,,,
19,2.601,0.02,1.288,0,0.278333333,2.600333333,1.707333333,8.495,1.106023783,2038,0.200980969,0.799019031,,,,,
20,2.588,0.022,1.389,0,0.294666667,2.612333333,1.703333333,8.609333333,1.120909643,2039,0.197847297,0.802152703,,,,,
21,2.578666667,0.024666667,1.473333333,0,0.308,2.634333333,1.692,8.711,1.134146341,2040,0.194237171,0.805762829,,,,,
22,2.574,0.027,1.539333333,0,0.339,2.657666667,1.694,8.831,1.149769985,2041,0.191824255,0.808175745,,,,,
23,2.570666667,0.030333333,1.590666667,0,0.396666667,2.694666667,1.705333333,8.988333333,1.170254318,2042,0.189727424,0.810272576,,,,,
24,2.567,0.034,1.627333333,0,0.429333333,2.730666667,1.704,9.092333333,1.183794809,2043,0.187410639,0.812589361,,,,,
25,2.563,0.037,1.638333333,0,0.445666667,2.769,1.688666667,9.141666667,1.190217863,2044,0.184721969,0.815278031,,,,,
26,2.558,0.040333333,1.646333333,0,0.476,2.806333333,1.677333333,9.204333333,1.198376877,2045,0.182233006,0.817766994,,,,,
27,2.551666667,0.044,1.648333333,0,0.523,2.837,1.68,9.284,1.208749241,2046,0.180956484,0.819043516,,,,,
28,2.544666667,0.047333333,1.647333333,0,0.560666667,2.867666667,1.68,9.347666667,1.217038452,2047,0.179723995,0.820276005,,,,,
29,2.536,0.051,1.649666667,0,0.575,2.892666667,1.673,9.377333333,1.220900963,2048,0.178408929,0.821591071,,,,,
30,2.525333333,0.054,1.643,0,0.577666667,2.909,1.664333333,9.373333333,1.220380175,2049,0.177560455,0.822439545,,,,,
31,2.515333333,0.058666667,1.635,0,0.595333333,2.921,1.662666667,9.388,1.222289732,2050,0.177105525,0.822894475,,,,,
