,Commercial,District_Heating,Electric_Vehicle,Electrolyzer,Heating,Industrial,Residential,Total,scaling_factor,year,share of residential,share of non-residential,,yr_timeframe,average_residential_load_share,average_non_residential_load_share,average_scaling_factor
0,14.36433333,0.009333333,0,0,0.09,13.79233333,9.151,37.407,1,2019,,,,1,0.219198129,0.780801871,0.961860971
1,14.34366667,0.010333333,0,0,0.116,13.70933333,8.914666667,37.094,0.991632582,2020,,,,2,0.209753788,0.790246212,1.015847301
2,14.28833333,0.012,0.042,0,0.131333333,13.63633333,8.568333333,36.67833333,0.98052058,2021,,,,3,0.190685934,0.809314066,1.120966664
3,14.20733333,0.014,0.091333333,0,0.154,13.52933333,8.295666667,36.29166667,0.970183834,2022,,,,4,0.175373143,0.824626857,1.211559334
4,14.11533333,0.015333333,0.175666667,0,0.181666667,13.467,8.122333333,36.07733333,0.964454068,2023,,,,5,0.167194346,0.832805654,1.260343429
5,14.017,0.017666667,0.292333333,0,0.210666667,13.37566667,7.98,35.89333333,0.959535203,2024,,,,,,,
6,13.905,0.02,0.448666667,0,0.261333333,13.278,7.881,35.794,0.956879728,2025,0.220176566,0.779823434,,,,,
7,13.78566667,0.023333333,0.655,0,0.311666667,13.166,7.868333333,35.81,0.957307456,2026,0.219724472,0.780275528,,,,,
8,13.664,0.026333333,0.917666667,0,0.371333333,13.05133333,7.879333333,35.91,0.959980752,2027,0.219418918,0.780581082,,,,,
9,13.54766667,0.029666667,1.246333333,0,0.424666667,12.93333333,7.895333333,36.077,0.964445157,2028,0.218846726,0.781153274,,,,,
10,13.421,0.035666667,1.649333333,0,0.482333333,12.813,7.909333333,36.31066667,0.97069176,2029,0.217823964,0.782176036,,,,,
11,13.31133333,0.038666667,2.130333333,0,0.535,12.75666667,7.919,36.691,0.980859197,2030,0.215829495,0.784170505,,,,,
12,13.25133333,0.042333333,2.757,0,0.582,12.72,7.941666667,37.29433333,0.996988086,2031,0.212945666,0.787054334,,,,,
13,13.194,0.046,3.355,0,0.663666667,12.69866667,7.975,37.93233333,1.014043717,2032,0.210242801,0.789757199,,,,,
14,13.14333333,0.051,4.040666667,0,0.733333333,12.683,7.998333333,38.64966667,1.033220164,2033,0.206944432,0.793055568,,,,,
15,13.08766667,0.056,4.804666667,0,0.795666667,12.69066667,7.997,39.43166667,1.054125342,2034,0.202806543,0.797193457,,,,,
16,13.02166667,0.062333333,5.562333333,0,0.894,12.698,8.009333333,40.24766667,1.075939441,2035,0.199001184,0.800998816,,,,,
17,12.969,0.068666667,6.358,0,0.979666667,12.736,8.002666667,41.114,1.099099099,2036,0.194645782,0.805354218,,,,,
18,12.92,0.075666667,7.142666667,0,1.084333333,12.80866667,7.990666667,42.022,1.123372631,2037,0.190154364,0.809845636,,,,,
19,12.86566667,0.083333333,7.855333333,0,1.154666667,12.86366667,7.98,42.80266667,1.144242165,2038,0.186436982,0.813563018,,,,,
20,12.803,0.091333333,8.470666667,0,1.222,12.92266667,7.964,43.47366667,1.162179984,2039,0.183191357,0.816808643,,,,,
21,12.75666667,0.101333333,8.982333333,0,1.277666667,13.033,7.912333333,44.06333333,1.177943522,2040,0.17956729,0.82043271,,,,,
22,12.73433333,0.112333333,9.387,0,1.406666667,13.14833333,7.926666667,44.71533333,1.195373415,2041,0.177269542,0.822730458,,,,,
23,12.71833333,0.125666667,9.7,0,1.645,13.33033333,7.988,45.50733333,1.216545923,2042,0.175532149,0.824467851,,,,,
24,12.70033333,0.141,9.924333333,0,1.778333333,13.50833333,7.985,46.03733333,1.230714394,2043,0.173446189,0.826553811,,,,,
25,12.67766667,0.153333333,9.99,0,1.844333333,13.699,7.916333333,46.28066667,1.237219415,2044,0.171050547,0.828949453,,,,,
26,12.654,0.166,10.039,0,1.969666667,13.88333333,7.866333333,46.57833333,1.245176928,2045,0.168883959,0.831116041,,,,,
27,12.623,0.179666667,10.05133333,0,2.162333333,14.033,7.889666667,46.939,1.254818617,2046,0.168083399,0.831916601,,,,,
28,12.58833333,0.194333333,10.04533333,0,2.317,14.18766667,7.899333333,47.232,1.262651375,2047,0.16724537,0.83275463,,,,,
29,12.54633333,0.209,10.05833333,0,2.375333333,14.311,7.873333333,47.37333333,1.266429634,2048,0.16619758,0.83380242,,,,,
30,12.49233333,0.224,10.01833333,0,2.386,14.39,7.839333333,47.35,1.265805865,2049,0.165561422,0.834438578,,,,,
31,12.44366667,0.240333333,9.97,0,2.455333333,14.452,7.84,47.40133333,1.267178157,2050,0.165396191,0.834603809,,,,,
