,Commercial,District_Heating,Electric_Vehicle,Electrolyzer,Heating,Industrial,Residential,Total,scaling_factor,year,share of residential,share of non-residential,,yr_timeframe,average_residential_load_share,average_non_residential_load_share,average_scaling_factor
0,8.223666667,0.006333333,0,0,0.062666667,7.896666667,6.475,22.66433333,1,2019,,,,1,0.258008272,0.741991728,0.954454135
1,8.212,0.007,0,0,0.080333333,7.848666667,6.308,22.456,0.990807877,2020,,,,2,0.249175388,0.750824612,0.99866751
2,8.180333333,0.008333333,0.020666667,0,0.091,7.806666667,6.063,22.17,0.978188931,2021,,,,3,0.229640679,0.770359321,1.087032489
3,8.133666667,0.009333333,0.044666667,0,0.107333333,7.745666667,5.870333333,21.911,0.966761284,2022,,,,4,0.212822646,0.787177354,1.166228876
4,8.081,0.011,0.086,0,0.126,7.709666667,5.747666667,21.76133333,0.960157663,2023,,,,5,0.202771735,0.797228265,1.214468156
5,8.025333333,0.012333333,0.142666667,0,0.146666667,7.657666667,5.647,21.63166667,0.954436486,2024,,,,,,,
6,7.961,0.014333333,0.219666667,0,0.181666667,7.602,5.577333333,21.556,0.951097907,2025,0.258736933,0.741263067,,,,,
7,7.892333333,0.016,0.320333333,0,0.216666667,7.537666667,5.568333333,21.55133333,0.950892004,2026,0.258375352,0.741624648,,,,,
8,7.822666667,0.018666667,0.449,0,0.258,7.471666667,5.576,21.596,0.952862795,2027,0.258195962,0.741804038,,,,,
9,7.756333333,0.021,0.609666667,0,0.295333333,7.404333333,5.587,21.67366667,0.956289618,2028,0.257778256,0.742221744,,,,,
10,7.683666667,0.024666667,0.806666667,0,0.335333333,7.335666667,5.597333333,21.78333333,0.961128351,2029,0.256954858,0.743045142,,,,,
11,7.620666667,0.027,1.042,0,0.372,7.303333333,5.604,21.969,0.969320371,2030,0.255086713,0.744913287,,,,,
12,7.586333333,0.029666667,1.348,0,0.404666667,7.282333333,5.62,22.271,0.982645272,2031,0.2523461,0.7476539,,,,,
13,7.553666667,0.032333333,1.640666667,0,0.461333333,7.270333333,5.644,22.60233333,0.997264424,2032,0.249708732,0.750291268,,,,,
14,7.524666667,0.035666667,1.976333333,0,0.51,7.261333333,5.660666667,22.96866667,1.013427853,2033,0.246451688,0.753548312,,,,,
15,7.492666667,0.039,2.349666667,0,0.553,7.265666667,5.659666667,23.35966667,1.030679629,2034,0.242283708,0.757716292,,,,,
16,7.455,0.043333333,2.720666667,0,0.621666667,7.27,5.668,23.77866667,1.049166826,2035,0.238364921,0.761635079,,,,,
17,7.425,0.048,3.109333333,0,0.681,7.291333333,5.663333333,24.218,1.068551174,2036,0.233848102,0.766151898,,,,,
18,7.397,0.053,3.493333333,0,0.754333333,7.333,5.655333333,24.686,1.089200359,2037,0.229090713,0.770909287,,,,,
19,7.366,0.058,3.841666667,0,0.803,7.364333333,5.647666667,25.08066667,1.106613916,2038,0.225180086,0.774819914,,,,,
20,7.329666667,0.064,4.142666667,0,0.849666667,7.398666667,5.636333333,25.421,1.121630168,2039,0.221719576,0.778280424,,,,,
21,7.303333333,0.071,4.392666667,0,0.888333333,7.461333333,5.6,25.71666667,1.134675628,2040,0.217757615,0.782242385,,,,,
22,7.290666667,0.078666667,4.590666667,0,0.978333333,7.527666667,5.609666667,26.07566667,1.150515494,2041,0.215130326,0.784869674,,,,,
23,7.281333333,0.088,4.743333333,0,1.143666667,7.631666667,5.653666667,26.54166667,1.171076434,2042,0.213010989,0.786989011,,,,,
24,7.271,0.098666667,4.853333333,0,1.236666667,7.733666667,5.652,26.84533333,1.184474872,2043,0.210539386,0.789460614,,,,,
25,7.258,0.107333333,4.885666667,0,1.282333333,7.843333333,5.603,26.97966667,1.190401953,2044,0.207674916,0.792325084,,,,,
26,7.244666667,0.116333333,4.909333333,0,1.369666667,7.948,5.568,27.156,1.198182166,2045,0.205037561,0.794962439,,,,,
27,7.226666667,0.125666667,4.915666667,0,1.504,8.034,5.584666667,27.39066667,1.208536173,2046,0.203889403,0.796110597,,,,,
28,7.206666667,0.135666667,4.912333333,0,1.611,8.122666667,5.592333333,27.58066667,1.216919389,2047,0.202762805,0.797237195,,,,,
29,7.183,0.146,4.918666667,0,1.652,8.193333333,5.574333333,27.66733333,1.220743312,2048,0.201477073,0.798522927,,,,,
30,7.152,0.156333333,4.899333333,0,1.659333333,8.238666667,5.550333333,27.656,1.22024326,2049,0.200691833,0.799308167,,,,,
31,7.124333333,0.168,4.875666667,0,1.707333333,8.273666667,5.551,27.7,1.222184637,2050,0.200397112,0.799602888,,,,,
