,Commercial,District_Heating,Electric_Vehicle,Electrolyzer,Heating,Industrial,Residential,Total,scaling_factor,year,share of residential,share of non-residential,,yr_timeframe,average_residential_load_share,average_non_residential_load_share,average_scaling_factor
0,14.044,0.012,0,0,0.118333333,13.485,11.74766667,39.407,1,2019,,,,1,0.269633936,0.730366064,0.952605713
1,14.02433333,0.014,0,0,0.152666667,13.40333333,11.444,39.03833333,0.99064464,2020,,,,2,0.260993981,0.739006019,0.994388476
2,13.97033333,0.015666667,0.033333333,0,0.173,13.33233333,10.99833333,38.523,0.977567437,2021,,,,3,0.24138924,0.75861076,1.078376938
3,13.89066667,0.017666667,0.072333333,0,0.203,13.228,10.648,38.05966667,0.965809797,2022,,,,4,0.224032652,0.775967348,1.154986001
4,13.80066667,0.020666667,0.139,0,0.239,13.16666667,10.425,37.791,0.958992057,2023,,,,5,0.213095672,0.786904328,1.204010568
5,13.705,0.023666667,0.230666667,0,0.277333333,13.07766667,10.24166667,37.556,0.95302865,2024,,,,,,,
6,13.59533333,0.026333333,0.354666667,0,0.344333333,12.982,10.11466667,37.41733333,0.949509816,2025,0.270320351,0.729679649,,,,,
7,13.47833333,0.030666667,0.517333333,0,0.410333333,12.87266667,10.09833333,37.40766667,0.949264513,2026,0.269953574,0.730046426,,,,,
8,13.36,0.034666667,0.724333333,0,0.488666667,12.76033333,10.11266667,37.48066667,0.951116976,2027,0.269810213,0.730189787,,,,,
9,13.246,0.039,0.984333333,0,0.559666667,12.645,10.13266667,37.60666667,0.954314377,2028,0.269438043,0.730561957,,,,,
10,13.122,0.046666667,1.302666667,0,0.634666667,12.52766667,10.15066667,37.78433333,0.958822883,2029,0.2686475,0.7313525,,,,,
11,13.01433333,0.051,1.682333333,0,0.704666667,12.47233333,10.16333333,38.088,0.966528789,2030,0.266838199,0.733161801,,,,,
12,12.956,0.056,2.176666667,0,0.766666667,12.43666667,10.19266667,38.58466667,0.979132303,2031,0.264163657,0.735836343,,,,,
13,12.89966667,0.060666667,2.649333333,0,0.874,12.416,10.235,39.13466667,0.993089214,2032,0.261532827,0.738467173,,,,,
14,12.85033333,0.067,3.191333333,0,0.966333333,12.40033333,10.26466667,39.74,1.008450275,2033,0.258295588,0.741704412,,,,,
15,12.796,0.074333333,3.794,0,1.047666667,12.40733333,10.26266667,40.382,1.024741797,2034,0.254139633,0.745860367,,,,,
16,12.732,0.081666667,4.393,0,1.177333333,12.41533333,10.27833333,41.07766667,1.042395175,2035,0.250217068,0.749782932,,,,,
17,12.68,0.090333333,5.021,0,1.29,12.452,10.26933333,41.80266667,1.060792922,2036,0.245662159,0.754337841,,,,,
18,12.632,0.099333333,5.640666667,0,1.428,12.523,10.254,42.577,1.080442561,2037,0.240834253,0.759165747,,,,,
19,12.57866667,0.11,6.204,0,1.520666667,12.577,10.24,43.23033333,1.09702168,2038,0.236870716,0.763129284,,,,,
20,12.51733333,0.120333333,6.689666667,0,1.609,12.635,10.219,43.79033333,1.111232353,2039,0.233362005,0.766637995,,,,,
21,12.47233333,0.133333333,7.094,0,1.682666667,12.74233333,10.15266667,44.27733333,1.123590563,2040,0.229297157,0.770702843,,,,,
22,12.451,0.148,7.413333333,0,1.852333333,12.85533333,10.17066667,44.89066667,1.139154634,2041,0.226565285,0.773434715,,,,,
23,12.435,0.165666667,7.660333333,0,2.166333333,13.03366667,10.24733333,45.70833333,1.159903909,2042,0.224189608,0.775810392,,,,,
24,12.41733333,0.185666667,7.837666667,0,2.341666667,13.207,10.24333333,46.23266667,1.173209497,2043,0.221560513,0.778439487,,,,,
25,12.395,0.201666667,7.889666667,0,2.428666667,13.394,10.15466667,46.46366667,1.1790714,2044,0.218550696,0.781449304,,,,,
26,12.37233333,0.219,7.928666667,0,2.593666667,13.574,10.08933333,46.777,1.18702261,2045,0.215690047,0.784309953,,,,,
27,12.34166667,0.237,7.937666667,0,2.847333333,13.72033333,10.118,47.202,1.197807496,2046,0.214355324,0.785644676,,,,,
28,12.30833333,0.255333333,7.933333333,0,3.051,13.87166667,10.129,47.54866667,1.20660458,2047,0.213023849,0.786976151,,,,,
29,12.26666667,0.275333333,7.943,0,3.128333333,13.99233333,10.095,47.70066667,1.210461762,2048,0.211632262,0.788367738,,,,,
30,12.21366667,0.294666667,7.912,0,3.142333333,14.06933333,10.05033333,47.68233333,1.209996532,2049,0.210776877,0.789223123,,,,,
31,12.16633333,0.316333333,7.873,0,3.233666667,14.12966667,10.049,47.768,1.212170427,2050,0.21037096,0.78962904,,,,,
