,Commercial,District_Heating,Electric_Vehicle,Electrolyzer,Heating,Industrial,Residential,Total,scaling_factor,year,share of residential,share of non-residential,,yr_timeframe,average_residential_load_share,average_non_residential_load_share,average_scaling_factor
0,10.48166667,0.009666667,0,0,0.097666667,10.06433333,9.715,30.36833333,1,2019,,,,1,0.287316269,0.712683731,0.959422644
1,10.467,0.011666667,0,0,0.125666667,10.004,9.464,30.07233333,0.990253005,2020,,,,2,0.272486382,0.727513618,1.022466385
2,10.42633333,0.012666667,0.036,0,0.142666667,9.950333333,9.095333333,29.66333333,0.976785028,2021,,,,3,0.245710538,0.754289462,1.137318479
3,10.367,0.014666667,0.078333333,0,0.167666667,9.872666667,8.806,29.30633333,0.965029362,2022,,,,4,0.224810976,0.775189024,1.235302124
4,10.3,0.017,0.150333333,0,0.197,9.827,8.621333333,29.11266667,0.958652105,2023,,,,5,0.213610573,0.786389427,1.288923038
5,10.22866667,0.019666667,0.249333333,0,0.228666667,9.760333333,8.47,28.95666667,0.953515175,2024,,,,,,,
6,10.14666667,0.021666667,0.383666667,0,0.284,9.689,8.365,28.89,0.951319906,2025,0.289546556,0.710453444,,,,,
7,10.05966667,0.025,0.559666667,0,0.339,9.607666667,8.351333333,28.94233333,0.953043192,2026,0.288550796,0.711449204,,,,,
8,9.971,0.029,0.784,0,0.403333333,9.523333333,8.363333333,29.074,0.957378849,2027,0.287656784,0.712343216,,,,,
9,9.886333333,0.032666667,1.065,0,0.462,9.437666667,8.379666667,29.26333333,0.963613413,2028,0.286353799,0.713646201,,,,,
10,9.793666667,0.038666667,1.409,0,0.524333333,9.35,8.395,29.51066667,0.971757862,2029,0.284473411,0.715526589,,,,,
11,9.713666667,0.042333333,1.82,0,0.581333333,9.308666667,8.404666667,29.87066667,0.983612315,2030,0.281368567,0.718631433,,,,,
12,9.669666667,0.046,2.355333333,0,0.632666667,9.282,8.429333333,30.415,1.001536688,2031,0.277143953,0.722856047,,,,,
13,9.627666667,0.050333333,2.866333333,0,0.721666667,9.266666667,8.464666667,30.99733333,1.020712365,2032,0.273077254,0.726922746,,,,,
14,9.591,0.055333333,3.452666667,0,0.797333333,9.255,8.489333333,31.64066667,1.041896713,2033,0.268304503,0.731695497,,,,,
15,9.550333333,0.061,4.105,0,0.864666667,9.260666667,8.487666667,32.32933333,1.064573843,2034,0.262537634,0.737462366,,,,,
16,9.502333333,0.067666667,4.752666667,0,0.972,9.266,8.5,33.06066667,1.088655946,2035,0.257103103,0.742896897,,,,,
17,9.463333333,0.074666667,5.432666667,0,1.064666667,9.294,8.492666667,33.822,1.113725921,2036,0.25109889,0.74890111,,,,,
18,9.428,0.082,6.103,0,1.179,9.346666667,8.480333333,34.619,1.139970364,2037,0.244961822,0.755038178,,,,,
19,9.388,0.090666667,6.712,0,1.255333333,9.387,8.468666667,35.30166667,1.16244992,2038,0.239894245,0.760105755,,,,,
20,9.342333333,0.099333333,7.237666667,0,1.328,9.43,8.451666667,35.889,1.181790242,2039,0.235494627,0.764505373,,,,,
21,9.308333333,0.110333333,7.675,0,1.389,9.51,8.396666667,36.38933333,1.198265737,2040,0.230745273,0.769254727,,,,,
22,9.292333333,0.122333333,8.02,0,1.529333333,9.594333333,8.411333333,36.96966667,1.217375556,2041,0.227519859,0.772480141,,,,,
23,9.280666667,0.137,8.287666667,0,1.788333333,9.727666667,8.475,37.69633333,1.24130399,2042,0.224822927,0.775177073,,,,,
24,9.267666667,0.153333333,8.479333333,0,1.933,9.857,8.471666667,38.162,1.256637945,2043,0.221992209,0.778007791,,,,,
25,9.251,0.166666667,8.535666667,0,2.005,9.996333333,8.398333333,38.353,1.262927391,2044,0.218974613,0.781025387,,,,,
26,9.234,0.180666667,8.577666667,0,2.141,10.13066667,8.344666667,38.60866667,1.271346249,2045,0.216134547,0.783865453,,,,,
27,9.211,0.195333333,8.588333333,0,2.350333333,10.24,8.368,38.953,1.282684814,2046,0.214822992,0.785177008,,,,,
28,9.186,0.211,8.583,0,2.518333333,10.353,8.377666667,39.229,1.291773229,2047,0.213557997,0.786442003,,,,,
29,9.155,0.227333333,8.593666667,0,2.582666667,10.443,8.349333333,39.351,1.295790571,2048,0.212175887,0.787824113,,,,,
30,9.116,0.243333333,8.559666667,0,2.594,10.501,8.312,39.326,1.294967345,2049,0.21136144,0.78863856,,,,,
31,9.080666667,0.261333333,8.518,0,2.669333333,10.546,8.311666667,39.387,1.296976017,2050,0.211025635,0.788974365,,,,,
