,Commercial,District_Heating,Electric_Vehicle,Electrolyzer,Heating,Industrial,Residential,Total,scaling_factor,year,share of residential,share of non-residential,,yr_timeframe,average_residential_load_share,average_non_residential_load_share,average_scaling_factor
0,3.855333333,0.005666667,0,0,0.055333333,3.701666667,3.847333333,11.46533333,1,2019,,,,1,0.295894476,0.704105524,0.972741016
1,3.849666667,0.006666667,0,0,0.071333333,3.679333333,3.745666667,11.35266667,0.990173276,2020,,,,2,0.272271284,0.727728716,1.068182347
2,3.834666667,0.007333333,0.019,0,0.080333333,3.659666667,3.595666667,11.19666667,0.976567043,2021,,,,3,0.236676225,0.763323775,1.230020933
3,3.813,0.008333333,0.041,0,0.094666667,3.631,3.477666667,11.06566667,0.965141295,2022,,,,4,0.211191707,0.788808293,1.364298174
4,3.788333333,0.009666667,0.078333333,0,0.112,3.614,3.402,11.00433333,0.959791836,2023,,,,5,0.197627265,0.802372735,1.432981548
5,3.762,0.011333333,0.130666667,0,0.129666667,3.589666667,3.340333333,10.96366667,0.956244912,2024,,,,,,,
6,3.732,0.012333333,0.200666667,0,0.160666667,3.563666667,3.297333333,10.96666667,0.956506571,2025,0.300668693,0.699331307,,,,,
7,3.699666667,0.014333333,0.292666667,0,0.191666667,3.533666667,3.291333333,11.02333333,0.961449006,2026,0.298578772,0.701421228,,,,,
8,3.667,0.016333333,0.41,0,0.228333333,3.502666667,3.296666667,11.121,0.969967438,2027,0.296436172,0.703563828,,,,,
9,3.636,0.018333333,0.557333333,0,0.261666667,3.471,3.303333333,11.24766667,0.981015234,2028,0.293690543,0.706309457,,,,,
10,3.602,0.021666667,0.737333333,0,0.296666667,3.439,3.308666667,11.40533333,0.994766833,2029,0.2900982,0.7099018,,,,,
11,3.572666667,0.024,0.952333333,0,0.329,3.424,3.313333333,11.61533333,1.013082917,2030,0.285255123,0.714744877,,,,,
12,3.556666667,0.026333333,1.232,0,0.358333333,3.413666667,3.321333333,11.90833333,1.038638214,2031,0.278908328,0.721091672,,,,,
13,3.541333333,0.028333333,1.499333333,0,0.408333333,3.408,3.333666667,12.219,1.065734388,2032,0.272826472,0.727173528,,,,,
14,3.527333333,0.031333333,1.806,0,0.451666667,3.404,3.342,12.56233333,1.09567973,2033,0.26603338,0.73396662,,,,,
15,3.512333333,0.034666667,2.147333333,0,0.489666667,3.406,3.340333333,12.93033333,1.127776486,2034,0.258333119,0.741666881,,,,,
16,3.494666667,0.038333333,2.486,0,0.55,3.407666667,3.343333333,13.32,1.161762996,2035,0.251001001,0.748998999,,,,,
17,3.480666667,0.042333333,2.841666667,0,0.602666667,3.418,3.339333333,13.72466667,1.197057797,2036,0.243308884,0.756691116,,,,,
18,3.467666667,0.046666667,3.192333333,0,0.667333333,3.437666667,3.333333333,14.145,1.233719037,2037,0.23565453,0.76434547,,,,,
19,3.452666667,0.051,3.511,0,0.710666667,3.452333333,3.327666667,14.50533333,1.26514711,2038,0.229409872,0.770590128,,,,,
20,3.436,0.056333333,3.786333333,0,0.752,3.468,3.319333333,14.818,1.292417723,2039,0.224006839,0.775993161,,,,,
21,3.423666667,0.062333333,4.014666667,0,0.786666667,3.497666667,3.297666667,15.08266667,1.315501803,2040,0.218639498,0.781360502,,,,,
22,3.418,0.069,4.195666667,0,0.865666667,3.528666667,3.3,15.377,1.341173392,2041,0.21460623,0.78539377,,,,,
23,3.413333333,0.077333333,4.335333333,0,1.012,3.577666667,3.318,15.73366667,1.372281661,2042,0.210885363,0.789114637,,,,,
24,3.408666667,0.086666667,4.436,0,1.094333333,3.625666667,3.312,15.96333333,1.39231306,2043,0.207475465,0.792524535,,,,,
25,3.402666667,0.094,4.465333333,0,1.134666667,3.676666667,3.280666667,16.054,1.400220956,2044,0.204351979,0.795648021,,,,,
26,3.396333333,0.102333333,4.487,0,1.212333333,3.726,3.255333333,16.17933333,1.41115246,2045,0.201203181,0.798796819,,,,,
27,3.388,0.110666667,4.492666667,0,1.330666667,3.766,3.256,16.344,1.425514595,2046,0.199216838,0.800783162,,,,,
28,3.378666667,0.119666667,4.49,0,1.425666667,3.807666667,3.251666667,16.47333333,1.436794976,2047,0.197389721,0.802610279,,,,,
29,3.367,0.128666667,4.495333333,0,1.462,3.840666667,3.234333333,16.528,1.441562972,2048,0.195688125,0.804311875,,,,,
30,3.352666667,0.137666667,4.477666667,0,1.468666667,3.862,3.214,16.51266667,1.440225608,2049,0.194638459,0.805361541,,,,,
31,3.339666667,0.148,4.456,0,1.511,3.878666667,3.207,16.54033333,1.442638679,2050,0.193889684,0.806110316,,,,,
