,Commercial,District_Heating,Electric_Vehicle,Electrolyzer,Heating,Industrial,Residential,Total,scaling_factor,year,share of residential,share of non-residential,,yr_timeframe,average_residential_load_share,average_non_residential_load_share,average_scaling_factor
0,92.66066667,0.074666667,0.294333333,0,0.747333333,88.01866667,67.431,249.2266667,1,2019,,,,1,0.244110874,0.755889126,0.95294404
1,92.53033333,0.087,0.433666667,0,0.963666667,87.364,65.671,247.0496667,0.99126498,2020,,,,2,0.238260497,0.761739503,0.986106088
2,92.172,0.099,0.693333333,0,1.083666667,86.91233333,63.08,244.0403333,0.979190295,2021,,,,3,0.221816897,0.778183103,1.061418521
3,91.64733333,0.113,1.017333333,0,1.270333333,86.181,61.04366667,241.2726667,0.968085277,2022,,,,4,0.20627378,0.79372622,1.132795581
4,91.056,0.128666667,1.455666667,0,1.483,85.79566667,59.74266667,239.6616667,0.961621282,2023,,,,5,0.195426238,0.804573762,1.181138544
5,90.42333333,0.149,2.013333333,0,1.710666667,85.21633333,58.675,238.1876667,0.955706987,2024,,,,,,,
6,89.701,0.166,2.725,0,2.117,84.59533333,57.93533333,237.2396667,0.951903221,2025,0.24420593,0.75579407,,,,,
7,88.92833333,0.192,3.628,0,2.523,83.88933333,57.83833333,236.999,0.950937567,2026,0.24404463,0.75595537,,,,,
8,88.14466667,0.218666667,4.748666667,0,3.009,83.15366667,57.924,237.1986667,0.951738712,2027,0.244200361,0.755799639,,,,,
9,87.39533333,0.247333333,6.132,0,3.447,82.40866667,58.04,237.6703333,0.953631233,2028,0.244203806,0.755796194,,,,,
10,86.57633333,0.294,7.812333333,0,3.915333333,81.647,58.14266667,238.3876667,0.956509469,2029,0.243899642,0.756100358,,,,,
11,85.86866667,0.321666667,9.819,0,4.348666667,81.29566667,58.21533333,239.869,0.962453189,2030,0.242696361,0.757303639,,,,,
12,85.48266667,0.351333333,12.296,0,4.736,81.07166667,58.375,242.3126667,0.972258185,2031,0.240907753,0.759092247,,,,,
13,85.11033333,0.382666667,14.96433333,0,5.389,80.94666667,58.60433333,245.3973333,0.984635138,2032,0.238814059,0.761185941,,,,,
14,84.78533333,0.422666667,18.02466667,0,5.951,80.863,58.76233333,248.809,0.998324149,2033,0.236174468,0.763825532,,,,,
15,84.42533333,0.465666667,21.42966667,0,6.447,80.92066667,58.74333333,252.4316667,1.01285978,2034,0.232709842,0.767290158,,,,,
16,84.002,0.514666667,24.812,0,7.238333333,80.98566667,58.81566667,256.3683333,1.028655307,2035,0.22941861,0.77058139,,,,,
17,83.66,0.568333333,28.361,0,7.925666667,81.24633333,58.75533333,260.5166667,1.045300128,2036,0.225533875,0.774466125,,,,,
18,83.346,0.626666667,31.85966667,0,8.791,81.72933333,58.661,265.0136667,1.063343944,2037,0.221350849,0.778649151,,,,,
19,82.99366667,0.689666667,35.03966667,0,9.370333333,82.10833333,58.57166667,268.7733333,1.078429275,2038,0.217922165,0.782077835,,,,,
20,82.588,0.757333333,37.78466667,0,9.924333333,82.50166667,58.441,271.997,1.091363952,2039,0.214858987,0.785141013,,,,,
21,82.28933333,0.839333333,40.067,0,10.38633333,83.23133333,58.06033333,274.8736667,1.102906324,2040,0.211225521,0.788774479,,,,,
22,82.14833333,0.929666667,41.871,0,11.41166667,83.99666667,58.132,278.4893333,1.117413867,2041,0.20874049,0.79125951,,,,,
23,82.04266667,1.042333333,43.267,0,13.375,85.189,58.516,283.432,1.137245881,2042,0.206455164,0.793544836,,,,,
24,81.927,1.166666667,44.268,0,14.475,86.353,58.45433333,286.644,1.150133747,2043,0.20392659,0.79607341,,,,,
25,81.782,1.269,44.562,0,15.02366667,87.60933333,57.92933333,288.1753333,1.156278087,2044,0.201021138,0.798978862,,,,,
26,81.63033333,1.377,44.78033333,0,16.05733333,88.81966667,57.52533333,290.19,1.164361759,2045,0.198233341,0.801766659,,,,,
27,81.42766667,1.488666667,44.83433333,0,17.64166667,89.79933333,57.61866667,292.8103333,1.174875615,2046,0.196778119,0.803221881,,,,,
28,81.20566667,1.607666667,44.80766667,0,18.90333333,90.827,57.621,294.9723333,1.183550449,2047,0.195343744,0.804656256,,,,,
29,80.93366667,1.729333333,44.864,0,19.39333333,91.644,57.376,295.9403333,1.187434464,2048,0.193876919,0.806123081,,,,,
30,80.58433333,1.854,44.687,0,19.493,92.184,57.07433333,295.8766667,1.187179007,2049,0.192899068,0.807100932,,,,,
31,80.272,1.990333333,44.47,0,20.082,92.611,57.01233333,296.4376667,1.18942997,2050,0.192324862,0.807675138,,,,,
