,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48
0,22264,21589,21282,20926,20672,20257,19984,19924,19865,19660,20151,21061,23497,25578,27922,28773,29180,28582,28304,27870,27651,27604,27661,27548,27451,27093,26583,26156,25969,25949,25891,26312,27059,27735,28574,28994,29132,29400,29288,29345,29320,29017,28583,28369,27884,26810,25217,23663
1,22552,21732,21216,20958,20545,20123,19821,19634,19329,18915,19037,19217,20257,21011,22089,22806,23666,23979,24219,23975,23695,23408,23134,23047,22813,22466,21977,21686,21397,20995,21143,21382,22030,23067,24088,24820,25587,26050,26247,26213,26125,25917,25821,25792,25579,24689,23244,21907
2,20850,20166,19811,19622,19171,18795,18483,18263,17999,17485,17388,17381,17954,18204,18865,19821,21184,21972,22931,23458,23672,23670,23587,23847,24159,24390,24563,24639,24723,24823,25349,25992,26828,27271,27921,28276,28198,28046,27905,27675,27380,27220,26792,26350,25635,24314,22726,21445
3,20459,19773,19421,19380,19218,18984,18968,18977,18991,18947,19338,20448,23130,25543,28492,30245,31396,31709,32031,31782,31731,31767,31407,31466,31357,31206,31109,31295,31411,30991,30745,31171,31560,31918,32341,32423,32229,32019,31715,31431,31140,31149,30264,29695,29034,27505,25492,23952
4,22740,21967,21606,21528,21046,20681,20448,20360,20383,20277,20695,21685,24154,26535,29411,30787,31883,32262,32717,32650,32647,32711,32584,32519,32259,31876,31444,31278,31476,31377,31336,31771,32246,32421,32582,32800,32674,32628,32291,31608,31074,30776,30192,29604,28521,26639,24781,23298
5,22065,21378,20915,20659,20351,20093,19972,19817,19821,19790,20221,21181,23660,26103,28980,30354,31256,31110,31567,31774,31733,31367,31721,31640,31062,30769,30444,29969,29519,29201,28844,29292,29804,30586,31227,31663,31741,31653,31646,31317,30739,30194,29696,29044,28148,26633,24765,23274
6,22077,21251,20794,20663,20431,20073,19895,19780,19674,19477,19901,20947,23315,25613,27995,29093,29442,28777,28558,28024,27468,26976,26498,26420,26411,26131,25721,25472,25303,25383,25347,25930,26712,27551,28417,29007,29072,29381,29873,30141,29806,29513,28936,28322,27777,26475,24578,23033
7,21709,20931,20431,20095,19771,19427,19361,19337,19248,18975,19372,20251,22444,24463,27097,28607,29214,28831,28643,28080,27202,26442,25963,25649,25524,25160,24713,24323,24321,24226,24246,24710,25494,26170,26953,27587,27979,28331,28383,28660,28371,28076,27554,27320,27250,26094,24755,23330
8,22456,21625,20988,20700,20230,19833,19509,19405,19259,18924,18890,19064,19606,20318,21700,22583,23809,24302,24768,24823,24452,24104,23808,23518,23405,23035,22651,22794,22631,22475,22716,23168,23984,25117,26237,26921,27302,27704,27760,27515,27231,26902,26997,27040,26818,25894,24359,23014
9,21696,20801,20139,19417,18868,18244,17915,17595,17224,16942,16798,16958,17592,17979,18439,19010,19897,20625,21378,21803,22007,21961,21865,21608,21576,21693,21347,20618,20217,20106,20098,20462,21089,22007,23026,23821,24642,25023,25331,25515,25635,25436,25501,25204,25070,24037,22059,20649
10,19275,18787,18248,18012,17687,17441,17143,17157,17087,16889,17140,18568,20971,22990,25454,26682,27507,27414,27643,27387,26957,26611,26402,26146,26148,25729,25747,25724,25927,26291,26391,26825,27684,28598,29442,29546,29446,29426,29474,29266,28867,28519,28416,28037,27451,26330,24584,23026
11,22083,21516,21033,20728,20408,20071,19824,19764,19723,19518,20069,21047,23396,25562,27848,28569,28976,28693,28531,28145,28110,28118,28261,28081,28159,28072,27925,27650,27825,27877,27786,28249,28934,29751,30507,30798,30775,31034,31271,31039,30501,30257,29766,29196,28793,27594,25563,24109
12,22824,21983,21526,21346,21173,20715,20670,20564,20587,20436,20960,21779,24085,26245,28299,28849,28865,28665,28841,28387,28222,28176,28350,28389,28868,28840,28313,27859,27578,27262,27259,27809,28455,29319,30207,30615,30910,31266,31237,31229,30959,30645,29866,29419,29081,27459,25630,24049
13,22790,21961,21429,21090,20719,20394,20193,20148,20174,19831,20267,21234,23367,25255,27637,28192,28208,28027,27753,27379,26802,26485,26192,26138,25911,25501,25193,25043,25256,25300,25625,26258,27463,28525,29294,29841,30121,30301,30664,30795,30676,30201,29877,29233,28361,26780,25037,23620
14,22402,21589,20988,20629,20353,20027,19811,19681,19722,19563,20003,20876,23243,25251,27773,28335,28395,28234,28238,27830,27438,27483,27285,27235,27103,26907,26769,26714,26659,26458,26395,26770,27340,27992,28661,29116,29410,29463,29399,29435,28721,28247,27794,27331,27096,25985,24478,23026
15,21770,20994,20364,19949,19456,19020,18777,18635,18474,18310,18516,18844,19999,20829,22093,23133,24352,24996,25587,25960,25839,25810,25773,25915,25783,25580,25328,24972,24733,24460,24287,24417,24851,25704,26613,27013,26940,27125,27190,27024,26901,26740,26231,26027,25904,25297,23967,22845
16,21789,21056,20393,20056,19669,19422,19113,18946,18890,18413,18264,18354,18838,19283,20051,20719,21783,22516,23178,23460,23599,23559,23720,23692,23727,23481,23025,22601,22279,22079,22279,22812,23611,24692,25752,26458,26884,27148,27612,27689,27706,27401,27093,26722,26534,25368,23667,22354
17,21297,20607,20251,19991,19717,19471,19304,19295,19283,19206,19681,20745,23186,25298,27826,29087,29915,29812,29856,29596,29165,28962,28823,28692,28627,28488,28280,28204,27994,28014,28312,29124,29814,30236,30922,31070,31220,31291,31353,31453,31297,30836,30410,29673,28828,27077,25149,23667
18,22649,21947,21477,21207,20972,20646,20499,20450,20450,20420,20905,21720,24061,26294,28980,30348,31201,31172,31210,30991,30930,30689,30689,30427,30521,30400,30322,30014,30119,30377,30550,31229,31808,32335,32741,32881,32752,32260,32151,31869,31423,30957,30353,29682,28682,26955,25032,23630
19,22414,21687,21261,20991,20633,20328,20202,20222,20210,20174,20506,21313,23692,25967,28537,29839,30961,31046,30813,30476,30203,30175,29795,29689,29655,29327,28995,28724,28840,29001,29000,28605,30177,31233,31851,32240,32235,32304,32010,31696,31420,30995,30678,30302,29116,27533,25771,24247
20,22922,22298,21807,21472,21062,20736,20479,20540,20549,20488,20787,21711,23807,26085,28543,29997,30846,30624,29719,29379,29049,29467,29659,29753,29440,29321,29680,29499,29412,29222,29239,29633,30300,31054,31465,31863,31874,31674,31512,31365,30538,30472,29772,29360,28791,27223,25395,23969
21,22678,21965,21368,21095,20546,20333,20264,20306,20272,20215,20404,21047,23124,25160,27588,29003,29770,29621,29536,29072,28692,28444,28346,28238,27760,27847,27881,27711,27286,26952,26690,26755,27239,27928,28473,28910,29107,29180,29238,28977,28864,28654,28297,28065,27470,26393,24839,23407
22,22173,21453,20810,20428,20030,19736,19344,19244,19121,18759,18827,19009,19987,20863,22232,23243,24444,24874,25536,25981,26221,26682,26317,26043,25810,25660,25512,25174,24801,24295,24088,24222,24644,25388,26360,26665,26958,27089,27142,27070,26797,26465,26361,26267,26046,25051,23842,22809
23,21775,20926,20290,19950,19502,19065,18707,18680,18586,18295,18141,18209,18583,18998,19785,20491,21642,22534,23268,23886,24483,24747,24966,25270,25276,25102,24832,24348,23795,23485,23690,23937,24443,25323,25970,26319,26536,26707,27062,27705,27888,27530,27337,27035,26668,25554,23874,22431
24,21351,20617,20201,19998,19732,19416,19268,19279,19346,19263,19752,20793,23131,25311,27762,29233,30151,30170,30413,30137,29695,29553,29396,29142,29010,28875,28585,28294,28096,28050,28063,28625,29059,29732,30365,30871,31146,31357,31548,31545,31217,30712,30281,29747,28997,27401,25506,24045
25,22859,22093,21518,21304,20928,20697,20527,20448,20427,20295,20721,21523,23734,25807,28165,29075,29641,29620,29448,29169,28878,28724,28702,29103,28758,28531,28413,28149,28214,28350,28371,29016,29557,30125,30881,31121,31158,31353,31224,31024,31027,30666,30157,29804,29185,27768,25993,24417
26,23083,22410,21744,21510,21067,20703,20550,20472,20475,20480,20777,21661,23774,25844,28241,29138,29482,29646,30127,29739,29511,29482,29316,29185,29432,29254,28730,28567,28486,28549,28798,29436,30449,31145,31746,32064,31918,31966,31626,31400,30894,30378,29888,29354,28127,26399,24423,23003
27,21856,21150,20599,20286,19940,19662,19577,19624,19786,19737,20160,21143,23442,25420,28204,29456,30169,30234,30360,30212,30005,29904,29580,29241,29074,28746,28451,27940,27580,27401,27008,27559,28089,28704,29245,29776,29919,29997,30209,30372,29971,29525,29306,28956,27934,26607,24912,23426
28,22178,21515,20854,20609,20230,20002,19742,19598,19695,19697,19882,20801,23067,25337,28083,29758,30832,30818,31283,31513,31531,31425,31441,31820,31973,31488,30908,30328,30211,30225,29962,29994,30425,30873,31360,31493,31293,31083,30442,29953,29140,28663,28057,27591,26720,25173,23866,22397
29,21405,20500,19851,19454,18968,18684,18379,18175,18027,17918,17888,18169,19129,19929,21061,22328,23461,24037,24497,24445,24494,24600,24381,23971,23727,23356,22739,21920,21562,21110,20996,21227,21681,22474,23408,24119,24472,25005,25419,25419,25236,24978,25017,25032,24648,23755,22679,21602
30,20730,20015,19521,19302,18819,18446,18134,17986,17859,17727,17505,17467,18016,18431,19249,19853,20735,21320,21762,22197,22700,22821,23186,23232,23266,23108,22964,22390,22230,22087,22128,22468,23094,23781,24594,25183,25450,25743,25783,25776,25780,25591,25442,25179,24297,22955,21477,19795
31,18612,17831,17469,17213,16856,16484,16372,16448,16603,16632,17266,17919,20139,21939,24413,26037,27414,27855,28088,27949,27501,27299,27347,27467,27507,27083,26798,26745,26496,26521,26603,27100,27496,28234,29319,29817,30033,30197,30428,30381,30388,30018,29506,29133,28540,26915,25064,23636
