,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48
0,23808,24402,24147,23197,22316,21987,20958,20640,20331,20095,20138,20404,21110,21583,22209,22624,23205,23947,25097,26220,27227,28065,28683,29211,29823,30179,30470,30430,30728,31080,31713,32516,34255,36313,36892,36786,36372,35673,35087,34161,33313,32198,31193,29798,28450,27209,25782,24781
1,24748,25273,25102,24547,24156,24026,23646,23337,23093,23236,23819,25059,27763,30050,32562,34231,36091,37534,38698,39097,39255,39253,39290,39152,39533,39751,39999,40217,40602,41076,41312,42262,43456,44454,45011,44913,44720,44353,43728,42495,41276,39639,38057,36142,34255,32376,30266,29075
2,28715,28955,28616,28002,27534,27325,26959,26487,26287,26364,27024,28150,30764,33172,35880,37696,39369,40668,41691,41945,42070,42216,42018,42061,42328,42108,42274,42912,43287,43413,43629,44128,44779,44657,44754,44658,44403,44522,44627,43865,42516,41090,39311,37255,35269,33248,31191,29818
3,29447,29734,29306,28605,28077,27926,27507,27108,26825,26971,27629,28709,31197,33791,36606,38620,40241,41471,42458,42738,42717,42585,42512,42533,42591,42489,42308,42256,42492,42509,42935,43465,43436,44481,44641,44633,44763,44456,44176,43080,41382,39957,38249,36330,34443,32738,30903,29813
4,29287,29558,29048,28165,27591,27390,26837,26280,26045,25904,26080,26400,27716,28574,29961,31160,32963,34602,36431,37267,37695,37905,38203,38398,38550,38736,38995,39026,38983,38954,39154,39671,40876,42398,42994,42862,42420,41665,40591,39145,38040,36417,35284,33764,32188,31003,29387,28342
5,27967,28191,27434,26520,25885,25709,25369,24805,24363,24146,24184,24507,25222,25832,26811,27588,29032,30518,32286,33858,35068,35708,36029,36620,37075,37235,37401,37419,37678,37792,38406,39281,40669,42077,42580,42259,41899,41473,40299,38906,37752,36365,34673,32845,31151,29218,27301,26150
6,25897,26184,25975,25381,24719,24492,24088,23450,23124,23177,23846,25018,28430,31566,34918,36833,38037,38427,39038,39269,39045,39052,39026,38870,38978,38938,38970,38903,38924,38607,38784,39700,41215,42653,43007,42771,42288,41585,40610,39338,37956,36231,34165,32129,29946,28035,26068,24859
7,24585,25066,24841,24193,23792,23569,23150,22922,22748,22902,23782,25095,28577,31861,35811,37452,38116,38270,38721,38538,38316,38068,37581,37182,36973,36640,36794,36906,37564,38043,38768,40071,41938,44294,44967,44902,44481,44168,43412,41979,41156,39629,37579,35258,33311,31217,29200,27967
8,27551,27988,27630,27016,26493,26541,26074,25603,25448,25731,26625,28149,31523,34964,38971,41042,42029,42038,42601,42502,41754,41172,40842,40571,40530,40511,40787,40907,41428,41843,42359,43593,44832,45201,45414,45311,45247,44910,45058,44723,43621,41966,40034,37633,35338,33297,31148,29798
9,29440,29848,29575,29043,28521,28414,28088,27710,27516,27573,28370,29722,33114,36163,39827,41919,43032,43035,43543,43645,43309,43410,43193,42873,43281,43459,43495,43266,43352,43285,43670,44518,45194,45343,45596,45214,45164,45216,45029,44349,42890,41286,39118,36830,34468,32442,30321,28792
10,28625,29133,28744,28010,27574,27469,26909,26607,26305,26338,27177,28473,31457,34921,38826,41074,42114,42114,42437,42079,41663,41385,41518,41406,41727,41467,41496,41335,41394,41033,41145,41681,43160,44735,45272,44695,44359,43890,42619,41097,39660,38047,36154,34176,32024,30421,28258,26921
11,26410,26194,25752,24932,24243,23785,23036,22389,22017,21849,22027,22330,23783,24909,26454,27813,29683,31404,33061,33920,34684,34909,35110,35197,35283,35061,34764,34359,34091,33855,34221,34719,35990,37517,38413,38727,38559,37956,36672,35169,33866,32475,31074,29716,28046,26878,25234,24183
12,23745,23941,23399,22423,21708,21276,20776,20316,19885,19660,19673,19877,20727,21346,22506,23356,24946,26669,28514,29677,30849,31246,31621,31977,32289,32475,32549,32362,32698,32832,33307,34111,35542,37868,38473,38570,37814,36963,36212,35188,34082,32607,31332,29628,27872,26401,24993,24028
13,23915,24566,24484,24073,23755,23548,23277,23072,23007,23320,24359,25935,29357,33060,37218,39401,40511,40552,40968,40578,40574,40189,40029,40169,40400,40446,40519,40621,40776,40953,41227,41622,42924,44520,44939,44708,44503,44234,43252,41962,40880,39154,36905,34416,32095,29966,27844,26375
14,25935,26335,25970,25268,24868,24581,24155,23649,23509,23715,24489,25982,29392,32647,36450,38416,39350,39341,39768,39674,39242,38904,38491,38547,38793,38835,38829,38779,38994,39167,39514,40332,42118,43580,44268,44169,43954,43298,42307,40804,39403,37821,35715,33219,31029,28764,26858,25228
15,24959,25270,25058,24480,23954,23741,23295,22887,22720,22955,23671,25152,28546,31866,35709,37847,38705,38752,39224,39265,39140,39162,39707,39933,40193,40216,40264,39981,40102,39912,39843,41197,42640,44282,44952,44746,44590,43905,42895,41891,40823,39325,37505,35284,32951,30920,28839,27360
16,27157,27396,27050,26507,26215,25887,25538,24882,24701,24862,25438,26712,29901,33363,37361,39600,40665,40757,40855,40282,39378,38687,38193,37603,37602,37529,37635,37992,38672,39575,40595,42272,43740,44736,45139,45328,45411,45315,45473,44940,44211,42844,40925,38468,36168,34069,32020,30552
17,30155,30480,30227,29550,29139,28901,28470,28009,27814,27901,28562,29982,33210,36495,40428,42607,43498,43539,44281,44197,43743,43358,43210,42802,42664,42405,42139,41792,41844,41844,41705,42456,43344,44459,45024,44826,44681,44672,44093,42834,41316,39582,37745,35906,33982,32245,30514,29179
18,28928,29280,28869,28043,27531,27356,26859,26334,25948,25907,26259,26714,27919,29187,30956,32491,34564,36464,38287,39092,39823,39960,40138,40180,40239,40119,39859,39554,39330,39238,39309,39430,40571,42136,43365,43297,42687,42427,41500,39996,39314,37957,36628,35294,33741,32490,30879,29807
19,29517,29813,29336,28398,27966,27714,27104,26703,26093,26013,26152,26360,27207,27938,28952,29861,31535,33249,35033,36024,36789,37011,37074,37150,37232,37204,37179,37017,37224,37600,38257,39351,40920,43275,44725,44461,43799,43392,42498,41133,40001,38712,37200,35381,33560,31816,29895,28763
20,28615,29068,29021,28535,28132,28055,27738,27399,27343,27565,28372,29854,33338,36660,40206,42166,43424,43616,44247,44174,43630,43581,42879,42831,42704,42296,42286,42152,42237,42297,42540,43239,44081,44891,45223,44846,44532,44589,44297,43330,41752,39798,37789,35611,33507,31666,29509,28432
21,28211,28642,28455,27752,27604,27621,27096,26723,26416,26830,27824,29384,32908,36211,40169,42358,43246,43177,43376,43041,42589,42365,42019,41949,41750,41783,42633,42981,43173,43258,43658,44367,45252,45774,46414,46487,46353,46307,45703,45662,44430,43116,41211,38841,36611,34406,32108,30612
22,30296,30681,30426,29879,29582,29425,28978,28484,28282,28508,29300,30774,33964,37514,41038,42955,43790,43799,44255,44043,43188,42691,42568,42292,42195,42005,41593,41561,41885,42118,43074,44089,45022,45767,47135,47198,47009,46810,46180,46062,45582,44056,42053,39728,37252,35076,32707,31375
23,30962,31363,31114,30481,30053,29946,29614,29219,28892,29117,29922,31281,34390,37746,41354,43131,44025,44221,44972,45166,45080,45132,44990,44659,44831,44505,44039,43738,43642,43617,43864,44456,45180,45940,46406,46297,46334,46175,45637,45379,44159,42636,40593,38090,35628,33517,31175,29804
24,29395,29714,29355,28619,28048,27709,27191,26767,26499,26416,27128,28425,31750,34765,38366,40274,40941,41174,41509,41204,40732,40267,39955,39616,39319,38689,38468,37951,38077,38110,38231,39127,40196,41666,43631,43681,43180,42371,41160,39948,38532,36767,34852,32966,31154,29432,27629,26659
25,26319,26524,26105,25287,24726,24326,23753,23209,22898,22870,23204,23540,25114,26287,27903,28400,30737,32469,33661,34200,34739,34534,34494,34442,34353,34198,33923,33664,33668,33915,34109,34655,35671,37392,39197,39591,39126,38424,37520,36129,34936,33573,31991,30927,29222,27875,26567,25714
26,25396,25731,25089,24004,23294,23021,22486,21729,21240,20950,20873,21045,22047,22806,23978,24670,26193,27846,29175,29753,30411,30695,31153,31630,32220,32612,32949,32940,33298,33701,34372,35379,36556,38680,40504,40711,40137,39163,38489,37441,36522,35169,33863,32142,30492,28904,27078,26016
